mpio_reg_code_7,error
1500337,404
2300016,404
2500085,404
1500029,404
8800160,404
5200040,404
3100100,404
3100097,404
0900133,404
0300022,404
0100070,404
2300013,404
2800001,404
1500334,404
0700121,404
1100001,404
1500030,404
2300017,404
2500088,404
0300025,404
1500340,404
1100004,404
1500031,404
6400023,404
0700124,404
3100103,404
2800010,404
2500091,404
2800020,404
8800380,404
3100106,404
0100073,404
1600001,404
0100076,404
0700127,404
2300019,404
1100005,404
1500034,404
0300028,404
1700001,404
2300022,404
2800030,404
3100109,404
2500093,404
5600004,404
8800165,404
0700130,404
1100006,404
0100078,404
1700002,404
0300031,404
1500037,404
2500094,404
2800040,404
2300025,404
3100112,404
0100079,404
0700136,404
0100080,404
0700137,404
8800655,404
1100010,404
1100007,404
3100115,404
0300034,404
2300028,404
1500040,404
1700004,404
2500097,404
0300035,404
5200041,404
2300031,404
1500043,404
2800041,404
1700006,404
3100118,404
2800042,404
6400025,404
0700139,404
0100082,404
0300037,404
8800410,404
1100013,404
2500100,404
3100121,404
1500046,404
0300040,404
2300034,404
2800045,404
6000001,404
0100085,404
1100016,404
1500049,404
2600001,404
8800170,404
2600005,404
1700008,404
3100124,404
2300037,404
8800665,404
2800048,404
1700007,404
0100088,404
0700142,404
0300043,404
0700148,404
1100019,404
1700010,404
1500052,404
1500055,404
4000001,404
2300038,404
2600010,404
0100091,404
0700151,404
2800050,404
2800049,404
2600020,404
1100022,404
0300047,404
0100094,404
1700011,404
4000005,404
8800430,404
6400026,404
0700154,404
1100025,404
1500058,404
0100097,404
4000010,404
2600025,404
0300046,404
0700157,404
2800055,404
2300040,404
1700012,404
0300049,404
2300039,404
1100027,404
1500061,404
1700013,404
2300041,404
1700014,404
0300052,404
2600040,404
0100100,404
1500064,404
8800190,404
4000017,404
2600030,404
2800060,404
6000007,404
2800080,404
0700160,404
0100103,404
1100028,404
2300044,404
1700015,404
8800670,404
1500067,404
0300055,404
0700161,404
1100029,404
2800100,404
4000015,404
4000020,404
0100106,404
2600050,404
2300043,404
0300058,404
0700163,404
1500070,404
1100031,404
1700016,404
0300061,404
6400028,404
4000025,404
0700166,404
2300046,404
1100034,404
0100109,404
1500072,404
2600060,404
8800435,404
2800120,404
1500076,404
1700017,404
0500001,404
2600070,404
1100037,404
2300047,404
0700169,404
0100112,404
2300049,404
2800180,404
2600080,404
2800160,404
1700019,404
4400001,404
4400002,404
1100040,404
0500004,404
6000010,404
1500079,404
0100115,404
2800190,404
0700173,404
8800215,404
0100117,404
2600090,404
0700176,404
4400003,404
2300052,404
1700022,404
2300055,404
0500005,404
2800200,404
2700001,404
4400004,404
1100043,404
1700025,404
1500085,404
0100118,404
0500006,404
1700026,404
8800675,404
1100046,404
1500088,404
0700178,404
2300058,404
2700004,404
8800440,404
5200044,404
4400005,404
6400030,404
4400006,404
2800220,404
0100121,404
0500007,404
2700007,404
1700027,404
0700179,404
2300061,404
2800240,404
1100049,404
1500091,404
0500009,404
1500094,404
4400007,404
0500010,404
6000013,404
1100052,404
0100124,404
2800260,404
0700181,404
0700184,404
2300064,404
0100127,404
1700028,404
2700010,404
1100053,404
1500097,404
2300067,404
4400009,404
1700031,404
2700013,404
8800220,404
2800280,404
8800680,404
1700032,404
0100130,404
2700016,404
2800300,404
4400010,404
1100055,404
0500014,404
0700187,404
0100133,404
0700190,404
2300076,404
1100058,404
1500103,404
5200045,404
1500100,404
1700034,404
6800001,404
2700019,404
0500013,404
4400012,404
2300073,404
2800320,404
0100136,404
2700022,404
8800445,404
2300077,404
0700193,404
1100060,404
0500015,404
1700035,404
1500106,404
1500109,404
2300078,404
0500016,404
1100061,404
4400016,404
2900001,404
0100139,404
2900004,404
1100064,404
1700037,404
2700028,404
1700038,404
4400017,404
5000083,404
2300079,404
0100140,404
1500112,404
2700025,404
0500018,404
0700199,404
0700202,404
8800250,404
2900007,404
0100142,404
0700205,404
0500022,404
6000016,404
1100067,404
0700214,404
2300080,404
2900010,404
8800683,404
4400022,404
4400020,404
2700031,404
1700040,404
0500025,404
2300082,404
5200046,404
1500115,404
8800455,404
1500118,404
1700043,404
1100070,404
6800004,404
4400024,404
2700034,404
2900013,404
0700215,404
0100145,404
0100148,404
0500026,404
1100073,404
1700048,404
1500121,404
0100150,404
0700217,404
1700060,404
2900016,404
2700037,404
2700040,404
0500027,404
1500124,404
2900019,404
4400040,404
4600001,404
2300088,404
0700220,404
1100076,404
6400018,404
0100151,404
2300085,404
2700043,404
1100079,404
1500127,404
4600040,404
2300091,404
2900022,404
1700082,404
0500028,404
8800275,404
8800685,404
0100154,404
1500128,404
1100082,404
0500031,404
2300094,404
0700223,404
2700045,404
1900001,404
0100157,404
2900025,404
4600120,404
0500037,404
0700226,404
4600320,404
