dept_reg_code,votantes,votos_validos,votos_blanco,votos_nulos,indig_0011,indig_0285,indig_0234,indig_0006,indig_0306,indig_0252,indig_0188,indig_0237,indig_0300,indig_0347,icand_0011_000000|SOLO POR LA LISTA,icand_0011_000201|MARTHA ISABEL PERALTA EPIEYU,icand_0011_000202|NELSON CUCUÑAME LULIGO,icand_0011_000203|JULIO CESAR ESTRADA CORDERO,icand_0285_000000|SOLO POR LA LISTA,icand_0285_000201|RICHARD HUMBERTO FUELANTALA DELGADO,icand_0285_000202|ANTONIO DE JESUS GUEVARA BETANCUR,icand_0285_000203|ZUNILDA AMAYA URIANA,icand_0234_000000|SOLO POR LA LISTA,icand_0234_000201|LOT USIEL VILLAZON ARIAS,icand_0234_000202|MARIA YANETH CASTILLO MARCHENA,icand_0234_000203|ATANACIO MOSCOTE GIL,icand_0006_000000|SOLO POR LA LISTA,icand_0006_000201|JESUS OMERO CUASAPUD CHASPUENGAL,icand_0006_000202|MARIA ESPERANZA TARAPUEZ GUEPUD,icand_0006_000203|RUBEN MARINO BORJE,icand_0306_000000|SOLO POR LA LISTA,icand_0306_000201|ANDRES AGREDA CHICUNQUE,icand_0252_000000|SOLO POR LA LISTA,icand_0252_000201|JOSE MANUEL MAESTRE BELLO,icand_0252_000202|HERMES BOCANEGRA BARBOSA,icand_0252_000203|MARIA ARIXMENDI JULIAN USNAS,icand_0188_000000|SOLO POR LA LISTA,icand_0188_000201|JOSE WILMAN TUMBO CHEPE,icand_0188_000202|MANUEL JESUS MAVISOY JUAGIBIOY,icand_0188_000203|LUZ EMILSE PANCHI,icand_0237_000000|SOLO POR LA LISTA,icand_0237_000201|CARLOS ALBERTO REDONDO RINCON,icand_0300_000000|SOLO POR LA LISTA,icand_0300_000202|ROSA ELENA MONTAÑO SALGADO,icand_0300_000203|OSWALDO WILFREDO HUETIO PRIETO,icand_0347_000000|SOLO POR LA LISTA,icand_0347_000201|FABIAN JOSE ARRIETA ALDANA,censo,mesas_total,mesas_escrutadas,turnout_pct,pct_blanco,pct_nulo,winner_col,winner_votes,winner_pct,winner,winner_color,dept_name_reg,dept_dane_code,dept_name_dane
4400,1821,1133,461,218,291,74,15,68,19,1,156,4,34,10,31,56,79,125,21,27,20,6,15,0,0,0,13,20,21,14,19,0,1,0,0,0,18,106,25,7,4,0,13,16,5,10,0,0,0,0,,40.69,11.97,indig_0011,291,25.68,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""",#E30613,CAQUETA,18,CAQUETÁ
4600,1825,1338,387,246,720,42,28,94,9,16,23,3,11,5,89,91,46,494,16,21,4,1,28,0,0,0,8,63,13,10,9,0,16,0,0,0,4,12,4,3,3,0,3,5,3,5,0,0,0,0,,28.92,13.48,indig_0011,720,53.81,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""",#E30613,CASANARE,85,CASANARE
4800,58933,49949,2505,3650,42042,1412,293,1850,132,52,987,80,496,100,4343,33922,2718,1059,255,772,174,211,293,0,0,0,217,255,138,1240,132,0,52,0,0,0,143,612,104,128,80,0,184,186,126,100,0,0,0,0,,5.02,6.19,indig_0011,42042,84.17,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""",#E30613,LA GUAJIRA,44,LA GUAJIRA
5000,1141,752,155,49,248,95,10,122,5,5,78,3,29,2,15,110,35,88,13,61,18,3,10,0,0,0,13,93,13,3,5,0,5,0,0,0,6,48,18,6,3,0,4,18,7,2,0,0,0,0,,20.61,4.29,indig_0011,248,32.98,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""",#E30613,GUAINIA,94,GUAINÍA
5200,4948,3442,982,677,774,183,84,1116,39,27,140,17,50,30,292,185,127,170,67,50,43,23,84,0,0,0,72,886,78,80,39,0,27,0,0,0,20,93,18,9,17,0,24,16,10,30,0,0,0,0,,28.53,13.68,indig_0006,1116,32.42,"MOVIMIENTO AUTORIDADES INDÍGENAS DE COLOMBIA ""AICO""",#C05B16,META,50,META
5400,442,323,72,34,118,24,1,20,5,2,68,1,11,1,15,40,17,46,6,6,7,5,1,0,0,0,0,8,3,9,5,0,2,0,0,0,4,55,8,1,1,0,3,6,2,1,0,0,0,0,,22.29,7.69,indig_0011,118,36.53,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""",#E30613,GUAVIARE,95,GUAVIARE
5600,663,498,199,29,23,8,4,229,2,1,19,3,6,4,2,17,4,0,2,2,1,3,4,0,0,0,25,8,4,192,2,0,1,0,0,0,0,4,5,10,3,0,0,4,2,4,0,0,0,0,,39.96,4.37,indig_0006,229,45.98,"MOVIMIENTO AUTORIDADES INDÍGENAS DE COLOMBIA ""AICO""",#C05B16,ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA,88,ARCHIPIELAGO DE SAN ANDRES PROVIDENCIA Y SANTA CATALINA
6000,1678,1236,224,76,895,45,9,23,3,3,10,3,16,5,138,244,99,414,12,15,3,15,9,0,0,0,4,10,5,4,3,0,3,0,0,0,3,7,0,0,3,0,5,7,4,5,0,0,0,0,,18.12,4.53,indig_0011,895,72.41,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""",#E30613,AMAZONAS,91,AMAZONAS
6400,5991,4926,843,265,2097,267,19,750,32,6,773,12,89,38,324,495,217,1061,63,123,55,26,19,0,0,0,80,534,90,46,32,0,6,0,0,0,53,95,594,31,12,0,42,36,11,38,0,0,0,0,,17.11,4.42,indig_0011,2097,42.57,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""",#E30613,PUTUMAYO,86,PUTUMAYO
6800,1123,841,103,21,606,26,1,34,2,5,35,0,29,0,44,149,60,353,2,11,9,4,1,0,0,0,2,16,4,12,2,0,5,0,0,0,1,24,7,3,0,0,4,20,5,0,0,0,0,0,,12.25,1.87,indig_0011,606,72.06,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""",#E30613,VAUPES,97,VAUPÉS
7200,1145,654,88,69,159,64,78,96,5,2,142,0,19,1,24,86,15,34,14,33,13,4,78,0,0,0,9,80,6,1,5,0,2,0,0,0,16,19,106,1,0,0,4,8,7,1,0,0,0,0,,13.46,6.03,indig_0011,159,24.31,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""",#E30613,VICHADA,99,VICHADA
