mesa_id,partido_posicion,partido_nombre,votos_pre_recount,votos_post_recount,delta,delta_pct
000356,38,PARTIDO MORADO,0.0,0.0,0.0,
000356,80,VOTOS EN BLANCO,14.0,15.0,1.0,7.142857142857142
000356,81,VOTOS NULOS,3.0,4.0,1.0,33.33333333333333
000356,99,TOTAL DE CIUDADANOS QUE VOTARON,74.0,74.0,0.0,0.0
000758,1,ALIANZA ELECTORAL VENCEREMOS,8.0,8.0,0.0,0.0
000758,2,PARTIDO PATRIÓTICO DEL PERÚ,1.0,1.0,0.0,0.0
000758,3,PARTIDO CÍVICO OBRAS,4.0,4.0,0.0,0.0
000758,4,FRENTE POPULAR AGRÍCOLA FÍA DEL PERÚ,0.0,,,
000758,5,PARTIDO DEMÓCRATA VERDE,1.0,1.0,0.0,0.0
000758,6,PARTIDO DEL BUEN GOBIERNO,0.0,0.0,0.0,
000758,7,PARTIDO POLÍTICO PERÚ ACCIÓN,0.0,0.0,0.0,
000758,8,PARTIDO POLÍTICO PRIN,0.0,0.0,0.0,
000758,9,PROGRESEMOS,0.0,0.0,0.0,
000758,10,PARTIDO SICREO,0.0,0.0,0.0,
000758,11,PARTIDO PAÍS PARA TODOS,0.0,0.0,0.0,
000758,12,PARTIDO FRENTE DE LA ESPERANZA 2021,1.0,1.0,0.0,0.0
000758,13,PARTIDO POLÍTICO NACIONAL PERÚ LIBRE,0.0,0.0,0.0,
000758,14,FRENTE POPULAR AGRÍCOLA FÍA DEL PERÚ,0.0,,,
000758,15,"PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO",0.0,0.0,0.0,
000758,16,JUNTOS POR EL PERÚ,68.0,67.0,-1.0,-1.4705882352941175
000758,17,PODEMOS PERÚ,4.0,4.0,0.0,0.0
000758,18,PARTIDO DEMOCRATICO FEDERAL,0.0,0.0,0.0,
000758,19,FE EN EL PERÚ,0.0,0.0,0.0,
000758,20,PARTIDO POLÍTICO INTEGRIDAD DEMOCRÁTICA,0.0,0.0,0.0,
000758,21,FUERZA POPULAR,2.0,2.0,0.0,0.0
000758,22,ALIANZA PARA EL PROGRESO,0.0,0.0,0.0,
000758,23,PARTIDO POLÍTICO COOPERACIÓN POPULAR,0.0,0.0,0.0,
000758,24,AHORA NACIÓN - AN,1.0,0.0,-1.0,-100.0
000758,25,LIBERTAD POPULAR,0.0,0.0,0.0,
000758,26,UN CAMINO DIFERENTE,0.0,0.0,0.0,
000758,27,AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,0.0,0.0,0.0,
000758,28,PERÚ MODERNO,0.0,0.0,0.0,
000758,29,PARTIDO POLÍTICO PERÚ PRIMERO,0.0,0.0,0.0,
000758,30,SALVEMOS AL PERÚ,1.0,1.0,0.0,0.0
000758,31,PARTIDO DEMOCRÁTICO SOMOS PERÚ,2.0,2.0,0.0,0.0
000758,32,PARTIDO APRISTA PERUANO,0.0,0.0,0.0,
000758,33,RENOVACIÓN POPULAR,0.0,0.0,0.0,
000758,34,PARTIDO DEMÓCRATA UNIDO PERÚ,0.0,0.0,0.0,
000758,35,FUERZA Y LIBERTAD,0.0,0.0,0.0,
000758,36,PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE - PERÚ,0.0,0.0,0.0,
000758,37,UNIDAD NACIONAL,4.0,4.0,0.0,0.0
000758,38,PARTIDO MORADO,0.0,0.0,0.0,
000758,80,VOTOS EN BLANCO,12.0,93.0,81.0,675.0
000758,81,VOTOS NULOS,5.0,81.0,76.0,1520.0
000758,99,TOTAL DE CIUDADANOS QUE VOTARON,113.0,269.0,156.0,138.05309734513273
000812,1,ALIANZA ELECTORAL VENCEREMOS,3.0,3.0,0.0,0.0
000812,2,PARTIDO PATRIÓTICO DEL PERÚ,0.0,0.0,0.0,
000812,3,PARTIDO CÍVICO OBRAS,16.0,18.0,2.0,12.5
000812,4,FRENTE POPULAR AGRÍCOLA FÍA DEL PERÚ,0.0,,,
000812,5,PARTIDO DEMÓCRATA VERDE,1.0,1.0,0.0,0.0
000812,6,PARTIDO DEL BUEN GOBIERNO,10.0,10.0,0.0,0.0
000812,7,PARTIDO POLÍTICO PERÚ ACCIÓN,0.0,0.0,0.0,
000812,8,PARTIDO POLÍTICO PRIN,0.0,0.0,0.0,
000812,9,PROGRESEMOS,1.0,1.0,0.0,0.0
000812,10,PARTIDO SICREO,2.0,2.0,0.0,0.0
000812,11,PARTIDO PAÍS PARA TODOS,7.0,6.0,-1.0,-14.285714285714285
000812,12,PARTIDO FRENTE DE LA ESPERANZA 2021,2.0,2.0,0.0,0.0
000812,13,PARTIDO POLÍTICO NACIONAL PERÚ LIBRE,4.0,1.0,-3.0,-75.0
000812,14,FRENTE POPULAR AGRÍCOLA FÍA DEL PERÚ,0.0,,,
000812,15,"PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO",2.0,2.0,0.0,0.0
000812,16,JUNTOS POR EL PERÚ,54.0,56.0,2.0,3.7037037037037033
000812,17,PODEMOS PERÚ,4.0,4.0,0.0,0.0
000812,18,PARTIDO DEMOCRATICO FEDERAL,0.0,0.0,0.0,
000812,19,FE EN EL PERÚ,0.0,0.0,0.0,
000812,20,PARTIDO POLÍTICO INTEGRIDAD DEMOCRÁTICA,1.0,1.0,0.0,0.0
000812,21,FUERZA POPULAR,38.0,37.0,-1.0,-2.631578947368421
000812,22,ALIANZA PARA EL PROGRESO,2.0,1.0,-1.0,-50.0
000812,23,PARTIDO POLÍTICO COOPERACIÓN POPULAR,1.0,1.0,0.0,0.0
000812,24,AHORA NACIÓN - AN,19.0,19.0,0.0,0.0
000812,25,LIBERTAD POPULAR,0.0,0.0,0.0,
000812,26,UN CAMINO DIFERENTE,1.0,1.0,0.0,0.0
000812,27,AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,1.0,2.0,1.0,100.0
000812,28,PERÚ MODERNO,0.0,0.0,0.0,
000812,29,PARTIDO POLÍTICO PERÚ PRIMERO,1.0,1.0,0.0,0.0
000812,30,SALVEMOS AL PERÚ,0.0,0.0,0.0,
000812,31,PARTIDO DEMOCRÁTICO SOMOS PERÚ,1.0,1.0,0.0,0.0
000812,32,PARTIDO APRISTA PERUANO,1.0,1.0,0.0,0.0
000812,33,RENOVACIÓN POPULAR,4.0,4.0,0.0,0.0
000812,34,PARTIDO DEMÓCRATA UNIDO PERÚ,0.0,0.0,0.0,
000812,35,FUERZA Y LIBERTAD,0.0,0.0,0.0,
