mesa_id,partido_nombre,votos_pre_recount,votos_post_recount,delta,delta_pct
034569,JUNTOS POR EL PERÚ,24,22.0,-2.0,-8.333333333333332
034615,JUNTOS POR EL PERÚ,25,24.0,-1.0,-4.0
034620,JUNTOS POR EL PERÚ,15,15.0,0.0,0.0
034816,JUNTOS POR EL PERÚ,30,30.0,0.0,0.0
034823,JUNTOS POR EL PERÚ,27,27.0,0.0,0.0
034936,JUNTOS POR EL PERÚ,36,0.0,-36.0,-100.0
034981,JUNTOS POR EL PERÚ,17,17.0,0.0,0.0
035124,JUNTOS POR EL PERÚ,39,39.0,0.0,0.0
035489,JUNTOS POR EL PERÚ,35,0.0,-35.0,-100.0
035834,JUNTOS POR EL PERÚ,37,36.0,-1.0,-2.7027027027027026
035857,JUNTOS POR EL PERÚ,4,4.0,0.0,0.0
036155,JUNTOS POR EL PERÚ,6,6.0,0.0,0.0
036156,JUNTOS POR EL PERÚ,2,2.0,0.0,0.0
036366,JUNTOS POR EL PERÚ,7,6.0,-1.0,-14.285714285714285
036510,JUNTOS POR EL PERÚ,3,3.0,0.0,0.0
036518,JUNTOS POR EL PERÚ,10,8.0,-2.0,-20.0
036584,JUNTOS POR EL PERÚ,3,3.0,0.0,0.0
036803,JUNTOS POR EL PERÚ,2,6.0,4.0,200.0
036901,JUNTOS POR EL PERÚ,2,2.0,0.0,0.0
037008,JUNTOS POR EL PERÚ,17,11.0,-6.0,-35.294117647058826
037042,JUNTOS POR EL PERÚ,12,11.0,-1.0,-8.333333333333332
037065,JUNTOS POR EL PERÚ,11,11.0,0.0,0.0
037084,JUNTOS POR EL PERÚ,17,17.0,0.0,0.0
037126,JUNTOS POR EL PERÚ,15,14.0,-1.0,-6.666666666666667
037298,JUNTOS POR EL PERÚ,2,2.0,0.0,0.0
037470,JUNTOS POR EL PERÚ,14,14.0,0.0,0.0
037647,JUNTOS POR EL PERÚ,15,15.0,0.0,0.0
037786,JUNTOS POR EL PERÚ,5,5.0,0.0,0.0
038564,JUNTOS POR EL PERÚ,7,12.0,5.0,71.42857142857143
038740,JUNTOS POR EL PERÚ,21,21.0,0.0,0.0
039366,JUNTOS POR EL PERÚ,6,6.0,0.0,0.0
039495,JUNTOS POR EL PERÚ,8,8.0,0.0,0.0
039692,JUNTOS POR EL PERÚ,0,17.0,17.0,
039763,JUNTOS POR EL PERÚ,17,19.0,2.0,11.76470588235294
039981,JUNTOS POR EL PERÚ,8,9.0,1.0,12.5
041701,JUNTOS POR EL PERÚ,5,5.0,0.0,0.0
041801,JUNTOS POR EL PERÚ,6,6.0,0.0,0.0
041982,JUNTOS POR EL PERÚ,5,5.0,0.0,0.0
042799,JUNTOS POR EL PERÚ,0,12.0,12.0,
042820,JUNTOS POR EL PERÚ,6,6.0,0.0,0.0
042942,JUNTOS POR EL PERÚ,1,1.0,0.0,0.0
043041,JUNTOS POR EL PERÚ,11,11.0,0.0,0.0
043112,JUNTOS POR EL PERÚ,6,6.0,0.0,0.0
044405,JUNTOS POR EL PERÚ,5,5.0,0.0,0.0
044511,JUNTOS POR EL PERÚ,5,5.0,0.0,0.0
044549,JUNTOS POR EL PERÚ,7,7.0,0.0,0.0
044560,JUNTOS POR EL PERÚ,1,1.0,0.0,0.0
044573,JUNTOS POR EL PERÚ,17,20.0,3.0,17.647058823529413
044616,JUNTOS POR EL PERÚ,4,4.0,0.0,0.0
044645,JUNTOS POR EL PERÚ,6,6.0,0.0,0.0
044663,JUNTOS POR EL PERÚ,13,15.0,2.0,15.384615384615385
044716,JUNTOS POR EL PERÚ,26,27.0,1.0,3.8461538461538463
044936,JUNTOS POR EL PERÚ,3,3.0,0.0,0.0
045210,JUNTOS POR EL PERÚ,1,1.0,0.0,0.0
045386,JUNTOS POR EL PERÚ,1,1.0,0.0,0.0
045414,JUNTOS POR EL PERÚ,1,1.0,0.0,0.0
045571,JUNTOS POR EL PERÚ,18,20.0,2.0,11.11111111111111
045578,JUNTOS POR EL PERÚ,13,14.0,1.0,7.6923076923076925
045641,JUNTOS POR EL PERÚ,22,22.0,0.0,0.0
045672,JUNTOS POR EL PERÚ,0,15.0,15.0,
045739,JUNTOS POR EL PERÚ,18,18.0,0.0,0.0
046051,JUNTOS POR EL PERÚ,1,0.0,-1.0,-100.0
046347,JUNTOS POR EL PERÚ,12,11.0,-1.0,-8.333333333333332
046865,JUNTOS POR EL PERÚ,17,16.0,-1.0,-5.88235294117647
046976,JUNTOS POR EL PERÚ,10,10.0,0.0,0.0
047093,JUNTOS POR EL PERÚ,9,9.0,0.0,0.0
047096,JUNTOS POR EL PERÚ,8,8.0,0.0,0.0
047181,JUNTOS POR EL PERÚ,4,2.0,-2.0,-50.0
047193,JUNTOS POR EL PERÚ,8,8.0,0.0,0.0
047202,JUNTOS POR EL PERÚ,2,3.0,1.0,50.0
047613,JUNTOS POR EL PERÚ,2,2.0,0.0,0.0
047619,JUNTOS POR EL PERÚ,6,6.0,0.0,0.0
047635,JUNTOS POR EL PERÚ,0,5.0,5.0,
047667,JUNTOS POR EL PERÚ,2,2.0,0.0,0.0
048188,JUNTOS POR EL PERÚ,7,7.0,0.0,0.0
048448,JUNTOS POR EL PERÚ,0,0.0,0.0,
048726,JUNTOS POR EL PERÚ,0,0.0,0.0,
048780,JUNTOS POR EL PERÚ,1,1.0,0.0,0.0
048879,JUNTOS POR EL PERÚ,0,0.0,0.0,
049140,JUNTOS POR EL PERÚ,1,2.0,1.0,100.0
049300,JUNTOS POR EL PERÚ,7,7.0,0.0,0.0
049377,JUNTOS POR EL PERÚ,9,9.0,0.0,0.0
049479,JUNTOS POR EL PERÚ,6,7.0,1.0,16.666666666666664
