mpio_reg_code_7,mesas_total,mesas_escrutadas,censo,votantes,votos_nulos,votos_no_marcados,votos_blanco,votos_validos,cand_31_000001|MAURICIO CARDENAS SANTAMARIA,cand_31_000002|DAVID ANDRES LUNA SANCHEZ,cand_31_000003|VICTORIA EUGENIA DAVILA HOYOS,cand_31_000004|JUAN MANUEL GALAN PACHON,cand_31_000005|PALOMA SUSANA VALENCIA LASERNA,cand_31_000006|JUAN CARLOS PINZON BUENO,cand_31_000007|ANIBAL GAVIRIA CORREA,cand_31_000008|ENRIQUE PEÑALOSA LONDOÑO,cand_31_000009|JUAN DANIEL OVIEDO ARANGO
0700256,10,10,3290,828,61,67,0,700,8,5,29,30,428,49,0,9,56
0700259,9,9,2543,705,12,61,0,632,2,3,15,25,432,23,18,5,42
0700262,4,4,1301,303,9,28,0,266,2,1,8,18,143,21,0,3,32
0700265,20,20,6371,1201,82,103,0,1016,7,7,61,71,414,56,3,28,136
0700268,24,24,7812,2277,114,92,0,2071,18,17,40,58,1219,88,9,24,234
0700271,21,21,6004,1466,81,147,0,1238,1,3,36,77,900,30,3,4,69
0700274,23,23,6907,1831,125,127,0,1579,9,3,24,79,1040,46,4,17,163
0700277,301,301,101449,29175,2319,1054,0,25802,257,207,869,1566,8736,1555,88,546,6165
0700280,9,9,2898,542,21,40,0,481,4,45,26,22,189,30,2,9,63
0700281,10,10,3023,652,60,62,0,530,6,5,16,35,170,26,2,17,88
0700282,20,20,6447,1341,128,127,0,1086,11,10,99,79,386,36,4,36,170
0700283,20,20,6282,1193,81,57,0,1055,5,9,66,93,457,75,6,21,127
0700286,9,9,2565,367,13,7,0,347,0,0,7,12,223,6,0,3,32
0700289,19,19,6320,1622,104,88,0,1430,6,5,54,67,678,76,8,41,176
0700292,12,12,3946,1027,64,86,0,877,6,7,30,167,331,46,3,17,114
0700298,15,15,5005,632,45,28,0,559,2,7,16,26,308,18,2,6,70
0700301,11,11,3642,464,14,15,0,435,3,3,16,20,187,37,3,17,78
0700304,25,25,7677,1453,78,179,0,1196,15,19,34,107,389,56,5,28,117
0700307,31,31,10294,2653,211,158,0,2284,38,14,78,148,832,115,9,61,453
0700310,10,10,3128,771,47,38,0,686,6,7,24,18,346,32,2,5,104
0700311,12,12,3682,810,25,118,0,667,3,7,30,40,417,14,6,10,41
0700313,25,25,8116,1493,139,134,0,1220,2,13,89,95,410,56,7,22,216
0700316,14,14,4538,778,28,69,0,681,7,2,14,42,442,22,2,7,44
0700319,12,12,3513,910,44,48,0,818,6,6,23,29,456,55,6,20,115
0700322,15,15,4546,821,48,155,0,618,5,7,37,71,240,72,2,9,52
0700324,5,5,1596,310,22,48,0,240,3,1,13,10,166,8,0,1,15
0700325,18,18,5784,1225,90,113,0,1022,4,12,45,100,314,94,6,22,169
0700328,27,27,8597,2069,173,142,0,1754,13,12,95,129,610,118,12,33,316
0700331,7,7,2099,295,11,10,0,274,2,1,7,16,152,20,0,1,29
0700334,18,18,5889,1141,57,111,0,973,5,14,44,27,445,77,3,26,122
0700337,37,37,12079,1615,100,75,0,1440,7,10,53,55,605,90,3,28,275
0700340,8,8,2553,525,40,51,0,434,2,3,17,11,232,33,2,15,40
0700346,14,14,4666,877,43,75,0,759,7,6,24,31,417,32,4,13,89
0900001,1065,1065,348772,102350,8221,4808,0,89321,1636,1142,4283,5989,36433,5612,756,1656,16984
0900004,63,63,19292,2851,137,278,0,2436,18,8,147,77,1583,113,35,20,180
0900007,96,96,29710,5501,350,613,0,4538,29,30,199,182,2884,174,53,51,398
0900013,40,40,11416,2053,96,226,0,1731,19,26,78,106,1046,64,16,30,132
0900022,33,33,10510,1749,57,120,0,1572,3,4,38,34,1262,28,11,7,87
0900034,148,148,47735,7849,634,579,0,6636,68,53,322,522,3083,305,70,95,798
0900037,31,31,9402,1505,74,200,0,1231,33,7,84,43,724,49,19,14,100
0900049,183,183,58225,8488,1027,761,0,6700,51,68,388,435,3349,223,57,76,891
0900052,20,20,5728,659,17,37,0,605,7,5,31,17,291,13,3,3,51
0900055,51,51,15777,2216,78,169,0,1969,13,16,91,115,1235,54,18,17,176
0900058,25,25,7793,581,35,73,0,473,4,5,38,22,254,15,7,10,47
0900061,39,39,12546,3076,114,318,0,2644,9,13,64,320,1797,57,16,21,131
0900067,9,9,2421,493,23,123,0,347,4,4,11,33,206,8,2,6,27
0900076,65,65,20188,3378,195,333,0,2850,32,32,161,134,1525,171,29,45,321
0900078,22,22,6868,667,46,70,0,551,2,8,24,43,261,15,10,19,70
0900079,42,42,12207,1919,84,219,0,1616,20,20,105,42,973,80,19,20,137
0900082,48,48,15170,1811,117,171,0,1523,10,14,88,88,823,60,19,9,164
0900085,55,55,16830,3714,122,401,0,3191,7,12,100,162,2305,80,22,21,217
