mpio_reg_code_7,mesas_total,mesas_escrutadas,censo,votantes,votos_nulos,votos_no_marcados,votos_blanco,votos_validos,consulta_30,consulta_31,consulta_32
0500018,41,41,13098,1132,86,320,0,726,74,556,96
0500022,197,197,62634,6151,516,725,0,4910,278,3584,1048
0500025,28,28,8386,955,28,300,0,627,44,491,92
0500026,39,39,12501,827,36,122,0,669,25,603,41
0500027,22,22,6872,402,13,37,0,352,9,236,107
0500028,322,322,106180,12500,1363,2519,0,8618,903,6457,1258
0500031,69,69,23021,2167,136,634,0,1397,166,1076,155
0500037,35,35,10645,479,20,24,0,435,19,382,34
0500040,142,141,45577,3111,290,909,0,1912,260,1338,314
0500041,38,38,10814,1025,31,237,0,757,51,359,347
0500043,130,130,40405,3280,257,631,0,2392,161,1852,379
0500044,44,44,13126,877,62,137,0,678,35,597,46
0500050,20,20,5332,188,11,17,0,160,9,127,24
0500059,66,66,19357,998,36,170,0,792,35,690,67
0500063,20,20,5710,237,25,40,0,172,8,148,16
0500065,25,25,7079,493,34,37,0,422,30,290,102
0500070,49,49,16593,1020,85,192,0,743,75,594,74
0500072,25,25,8168,493,68,94,0,331,27,256,48
0500073,36,36,10290,389,22,60,0,307,10,257,40
0500076,72,72,22377,2213,224,291,0,1698,135,1359,204
0500078,25,25,7533,657,17,124,0,516,39,416,61
0500079,105,105,33286,3250,273,543,0,2434,175,2036,223
0500082,41,41,13104,784,39,153,0,592,46,455,91
0500084,68,68,21201,1582,99,326,0,1157,112,891,154
0500091,43,43,14322,902,74,249,0,579,51,418,110
0500094,53,53,17470,1300,117,333,0,850,113,517,220
0500095,89,89,27650,4298,271,694,0,3333,220,2837,276
0500097,51,51,14135,1312,99,249,0,964,62,784,118
0500106,27,27,9016,692,72,175,0,445,51,294,100
0500110,35,35,10684,1018,49,167,0,802,49,657,96
0500113,52,52,15502,730,38,166,0,526,24,434,68
0500118,220,220,76485,11375,1568,2116,0,7691,913,5698,1080
0500121,53,53,17049,1608,162,424,0,1022,121,723,178
0500124,55,55,17795,1739,162,440,0,1137,137,868,132
0500127,32,32,10186,427,33,185,0,209,16,139,54
0700001,424,424,141698,47115,3695,1253,0,42167,4998,32807,4362
0700007,7,7,2014,270,14,14,0,242,16,211,15
0700008,47,47,13225,1871,131,178,0,1562,141,1356,65
0700010,16,16,5254,742,51,25,0,666,53,558,55
0700013,22,22,7090,1873,133,111,0,1629,214,1339,76
0700016,5,5,1509,299,11,33,0,255,15,216,24
0700019,7,7,1976,458,26,33,0,399,56,326,17
0700022,17,17,5047,1221,74,107,0,1040,107,886,47
0700025,14,14,4600,757,50,87,0,620,82,473,65
0700028,8,8,2497,539,20,41,0,478,28,434,16
0700031,17,17,5079,1064,50,115,0,899,58,804,37
0700034,4,4,1010,300,15,23,0,262,22,233,7
0700037,13,13,3292,581,32,18,0,531,54,451,26
0700040,9,9,2454,437,18,23,0,396,21,365,10
0700043,12,12,3685,699,39,22,0,638,80,502,56
0700046,12,12,3947,883,35,81,0,767,69,668,30
0700049,32,32,10139,2447,218,170,0,2059,382,1480,197
0700052,13,13,3291,581,32,80,0,469,16,428,25
0700055,8,8,2424,761,46,46,0,669,56,569,44
0700058,12,12,3433,793,13,78,0,702,22,665,15
0700059,23,23,7044,608,61,120,0,427,48,332,47
0700060,11,11,3473,743,66,63,0,614,183,385,46
0700061,6,6,1904,486,23,40,0,423,48,353,22
0700064,10,10,3145,799,42,60,0,697,63,598,36
0700067,139,139,44576,11704,938,552,0,10214,1201,8368,645
0700068,16,16,4800,844,87,124,0,633,90,346,197
0700070,0,0,0,0,0,0,0,0,0,0,0
0700073,24,24,6500,1123,44,129,0,950,35,885,30
0700076,19,19,5881,1242,35,79,0,1128,49,1029,50
0700077,10,10,3338,817,53,62,0,702,105,534,63
0700078,7,7,1851,548,25,43,0,480,16,447,17
0700079,287,287,97678,29314,2333,911,0,26070,3579,20566,1925
0700082,12,12,3486,706,31,74,0,601,33,545,23
0700085,8,8,2289,701,16,44,0,641,9,612,20
0700088,20,20,6131,1345,113,124,0,1108,191,787,130
0700091,12,12,3561,1003,39,34,0,930,76,803,51
0700094,10,10,3056,557,57,48,0,452,37,374,41
0700097,14,14,4125,1063,40,95,0,928,68,797,63
0700100,41,41,12682,3207,225,185,0,2797,377,2229,191
0700103,5,5,1616,473,27,44,0,402,15,383,4
0700106,29,29,9329,2279,170,143,0,1966,216,1630,120
0700109,12,12,3949,961,43,59,0,859,72,767,20
0700112,12,12,3173,487,23,41,0,423,22,383,18
0700118,7,7,2320,626,32,37,0,557,36,482,39
0700121,20,20,6452,1309,77,125,0,1107,121,923,63
0700124,12,12,3436,785,19,125,0,641,17,607,17
0700127,10,10,3185,562,24,72,0,466,24,421,21
0700130,8,8,2517,427,21,37,0,369,37,295,37
0700136,9,9,2512,701,25,54,0,622,41,547,34
0700137,7,7,1631,279,13,16,0,250,15,216,19
0700139,42,42,13752,3559,272,163,0,3124,347,2594,183
0700142,12,12,3677,826,56,83,0,687,85,556,46
0700148,20,20,6078,1311,50,131,0,1130,38,1050,42
0700151,24,24,7765,1548,131,154,0,1263,123,994,146
0700154,13,13,4176,1186,67,68,0,1051,55,974,22
0700157,13,13,4026,900,87,60,0,753,82,644,27
0700160,61,61,19917,4761,374,261,0,4126,502,3335,289
0700161,19,19,5886,1302,163,117,0,1022,153,731,138
0700163,26,26,7704,1461,99,183,0,1179,104,1003,72
0700166,42,42,13741,3608,322,189,0,3097,454,2278,365
0700169,15,15,4998,723,66,66,0,591,62,473,56
0700173,9,9,2888,795,61,51,0,683,93,497,93
0700176,28,28,7253,1568,59,130,0,1379,68,1204,107
0700178,6,6,1979,467,27,35,0,405,28,352,25
0700179,9,9,2450,561,26,59,0,476,17,436,23
0700181,95,95,30521,8514,611,353,0,7550,1110,6011,429
0700184,7,7,1779,334,18,35,0,281,12,261,8
0700187,5,5,1607,409,5,21,0,383,13,361,9
0700190,23,23,7067,1697,74,144,0,1479,94,1319,66
0700193,7,7,1749,255,11,28,0,216,14,197,5
0700199,14,14,4127,654,51,27,0,576,73,423,80
0700202,21,21,6588,1402,84,117,0,1201,157,989,55
0700205,4,4,1261,254,10,43,0,201,12,182,7
0700214,125,125,39982,9531,991,988,0,7552,705,6088,759
0700215,18,18,5141,1100,48,132,0,920,39,836,45
0700217,30,30,9526,2387,154,225,0,2008,187,1658,163
0700220,18,18,5564,1241,120,100,0,1021,164,798,59
0700223,8,8,2314,476,20,40,0,416,22,361,33
0700226,36,36,10709,1453,110,95,0,1248,135,1041,72
0700232,14,14,4348,1062,77,82,0,903,127,589,187
0700235,50,50,16357,3597,310,282,0,3005,506,2126,373
0700237,5,5,1552,194,6,11,0,177,21,143,13
0700238,19,19,5642,1275,43,88,0,1144,73,1019,52
0700241,16,16,4281,959,53,51,0,855,30,794,31
0700247,11,11,3606,1058,33,79,0,946,39,857,50
0700248,9,9,2910,771,58,35,0,678,56,588,34
0700249,20,20,6103,1519,60,131,0,1328,38,1214,76
0700250,23,23,7368,1385,68,92,0,1225,68,1088,69
0700251,12,12,3202,621,63,52,0,506,65,389,52
0700253,28,28,8921,2934,211,154,0,2569,301,2109,159
0700256,10,10,3290,828,61,67,0,700,52,614,34
0700259,9,9,2543,705,12,61,0,632,38,565,29
0700262,4,4,1301,303,9,28,0,266,25,228,13
0700265,20,20,6371,1201,82,103,0,1016,140,783,93
0700268,24,24,7812,2277,114,92,0,2071,257,1707,107
0700271,21,21,6004,1466,81,147,0,1238,66,1123,49
0700274,23,23,6907,1831,125,127,0,1579,104,1385,90
0700277,301,301,101449,29175,2319,1054,0,25802,3614,19989,2199
0700280,9,9,2898,542,21,40,0,481,60,390,31
0700281,10,10,3023,652,60,62,0,530,113,365,52
0700282,20,20,6447,1341,128,127,0,1086,148,831,107
0700283,20,20,6282,1193,81,57,0,1055,131,859,65
0700286,9,9,2565,367,13,7,0,347,32,283,32
0700289,19,19,6320,1622,104,88,0,1430,180,1111,139
0700292,12,12,3946,1027,64,86,0,877,97,721,59
0700298,15,15,5005,632,45,28,0,559,51,455,53
0700301,11,11,3642,464,14,15,0,435,58,364,13
0700304,25,25,7677,1453,78,179,0,1196,125,770,301
0700307,31,31,10294,2653,211,158,0,2284,360,1748,176
0700310,10,10,3128,771,47,38,0,686,81,544,61
0700311,12,12,3682,810,25,118,0,667,46,568,53
0700313,25,25,8116,1493,139,134,0,1220,168,910,142
0700316,14,14,4538,778,28,69,0,681,43,582,56
0700319,12,12,3513,910,44,48,0,818,69,716,33
0700322,15,15,4546,821,48,155,0,618,82,495,41
0700324,5,5,1596,310,22,48,0,240,11,217,12
0700325,18,18,5784,1225,90,113,0,1022,191,766,65
0700328,27,27,8597,2069,173,142,0,1754,271,1338,145
0700331,7,7,2099,295,11,10,0,274,23,228,23
0700334,18,18,5889,1141,57,111,0,973,132,763,78
0700337,37,37,12079,1615,100,75,0,1440,192,1126,122
0700340,8,8,2553,525,40,51,0,434,42,355,37
0700346,14,14,4666,877,43,75,0,759,86,623,50
0900001,1065,1065,348772,102350,8221,4808,0,89321,8782,74491,6048
0900004,63,63,19292,2851,137,278,0,2436,149,2181,106
0900007,96,96,29710,5501,350,613,0,4538,321,4000,217
0900013,40,40,11416,2053,96,226,0,1731,135,1517,79
0900022,33,33,10510,1749,57,120,0,1572,49,1474,49
0900034,148,148,47735,7849,634,579,0,6636,652,5316,668
0900037,31,31,9402,1505,74,200,0,1231,90,1073,68
0900049,183,183,58225,8488,1027,761,0,6700,602,5538,560
0900052,20,20,5728,659,17,37,0,605,27,421,157
0900055,51,51,15777,2216,78,169,0,1969,144,1735,90
0900058,25,25,7793,581,35,73,0,473,40,402,31
0900061,39,39,12546,3076,114,318,0,2644,138,2428,78
0900067,9,9,2421,493,23,123,0,347,35,301,11
0900076,65,65,20188,3378,195,333,0,2850,248,2450,152
0900078,22,22,6868,667,46,70,0,551,66,452,33
0900079,42,42,12207,1919,84,219,0,1616,116,1416,84
0900082,48,48,15170,1811,117,171,0,1523,119,1275,129
0900085,55,55,16830,3714,122,401,0,3191,147,2926,118
0900103,130,130,41515,6731,484,621,0,5626,453,4860,313
0900106,34,34,10724,1290,89,116,0,1085,58,955,72
0900109,49,49,15051,1918,82,78,0,1758,93,1558,107
0900115,54,54,16905,2281,107,253,0,1921,108,1698,115
0900120,17,17,5070,659,28,50,0,581,32,512,37
0900124,78,78,24116,4421,491,536,0,3394,313,2810,271
0900127,28,28,8601,1214,76,98,0,1040,68,917,55
0900130,154,154,48037,10286,845,599,0,8842,1062,7211,569
0900133,47,47,13494,1967,108,143,0,1716,106,1538,72
1100001,801,801,267293,55089,6044,4121,0,44924,4982,35160,4782
1100004,45,45,13202,298,21,113,0,164,31,78,55
1100005,74,74,22750,851,76,319,0,456,61,281,114
1100006,55,55,17546,1313,116,467,0,730,72,325,333
1100007,122,122,30906,1375,182,347,0,846,67,525,254
1100010,61,61,18843,2863,461,764,0,1638,116,835,687
1100013,85,85,27053,1419,127,189,0,1103,65,956,82
1100016,79,79,26450,1202,144,314,0,744,96,520,128
1100019,70,70,21523,1931,318,268,0,1345,116,787,442
1100022,61,61,19528,1261,124,267,0,870,108,564,198
1100025,137,124,38686,3332,340,911,0,2081,273,1412,396
1100027,17,17,5128,509,26,120,0,363,31,311,21
1100028,74,73,19719,1037,124,322,0,591,82,354,155
1100029,48,48,14880,1482,333,345,0,804,73,327,404
1100031,65,65,19578,1064,109,213,0,742,82,578,82
1100034,34,34,10414,170,25,81,0,64,13,29,22
1100037,31,31,9438,775,91,180,0,504,44,390,70
1100040,54,54,15469,794,55,177,0,562,35,364,163
1100043,62,59,14067,1330,47,259,0,1024,37,272,715
1100046,49,49,14375,1112,89,297,0,726,43,417,266
1100049,72,72,22350,2353,346,307,0,1700,142,930,628
1100052,77,77,23293,2252,200,463,0,1589,164,1158,267
1100053,25,25,7431,1011,195,215,0,601,58,240,303
1100055,81,81,23079,721,75,117,0,529,49,421,59
1100058,93,93,27951,3110,380,833,0,1897,238,1293,366
1100060,26,26,6824,425,27,85,0,313,33,216,64
1100061,105,105,32510,3766,365,637,0,2764,471,1932,361
1100064,104,104,35735,3445,613,408,0,2424,141,997,1286
1100067,32,32,10146,707,59,157,0,491,45,371,75
1100070,30,30,8963,964,96,151,0,717,59,512,146
1100073,24,24,7348,285,11,92,0,182,12,127,43
1100076,247,247,86978,9269,1397,1183,0,6689,679,4763,1247
1100079,19,19,4311,346,17,69,0,260,20,199,41
1100082,81,81,24867,1787,171,361,0,1255,145,795,315
1100085,29,29,7852,878,88,198,0,592,56,462,74
1100086,23,23,6195,168,10,52,0,106,11,72,23
1100087,62,62,19307,2161,355,523,0,1283,134,725,424
1100088,93,93,28887,4091,486,619,0,2986,278,2369,339
1100091,61,54,16363,471,45,105,0,321,31,168,122
1100094,68,68,21556,695,91,254,0,350,53,165,132
1100097,44,44,13520,516,63,96,0,357,32,263,62
1100098,49,49,15894,910,206,199,0,505,48,278,179
1200001,1047,1046,349551,68841,6403,7051,0,55387,4885,43285,7217
1200075,245,245,78338,13784,1377,1564,0,10843,781,8948,1114
1200150,157,157,54423,9088,762,1436,0,6890,647,4295,1948
1200170,53,53,17189,2002,85,409,0,1508,116,1199,193
1200180,62,62,19915,2134,191,462,0,1481,342,914,225
1200200,104,104,33947,2680,285,415,0,1980,144,1518,318
1200225,100,100,31596,2866,238,506,0,2122,195,1672,255
1200300,86,86,26644,2947,201,451,0,2295,472,1613,210
1200375,77,77,25314,3482,275,514,0,2693,197,1982,514
1200410,82,82,26359,2204,247,398,0,1559,102,1215,242
1200415,86,86,29352,2820,307,523,0,1990,219,1341,430
1200450,38,38,11458,1190,80,148,0,962,48,814,100
1200525,19,19,4922,601,46,80,0,475,38,383,54
1200600,39,39,11902,1309,91,265,0,953,81,814,58
1200608,101,101,32951,3645,495,703,0,2447,337,1672,438
1200625,31,31,9357,1505,138,188,0,1179,113,940,126
1200650,52,52,16794,2292,164,414,0,1714,103,1474,137
1200700,53,53,17469,1702,130,207,0,1365,99,1136,130
1200720,73,73,23782,1732,192,371,0,1169,77,896,196
1200750,56,56,16963,2517,183,341,0,1993,103,1708,182
1200800,65,65,20487,3127,279,360,0,2488,367,1906,215
1200825,74,74,23907,3597,267,640,0,2690,217,2150,323
1200850,55,55,17333,2643,198,354,0,2091,156,1645,290
1200875,63,63,19805,3145,305,294,0,2546,165,2133,248
1200900,38,38,11595,1172,85,217,0,870,57,731,82
1300001,1138,1135,376892,77961,8145,11828,0,57988,6481,42777,8730
1300004,117,117,36987,2356,150,421,0,1785,181,1294,310
1300007,64,64,19576,1195,79,238,0,878,92,593,193
1300009,58,58,18357,918,57,128,0,733,60,543,130
1300010,238,238,79395,12885,1511,2401,0,8973,1132,6405,1436
1300013,152,152,49141,3981,422,774,0,2785,230,1887,668
1300014,52,52,16845,1714,88,332,0,1294,148,900,246
1300016,43,43,13686,967,63,133,0,771,54,561,156
1300019,137,137,40765,5082,431,703,0,3948,293,3072,583
1300020,41,41,13126,849,64,252,0,533,72,353,108
1300022,287,287,94814,9158,707,1339,0,7112,609,4865,1638
1300023,56,56,16858,1121,54,181,0,886,80,685,121
1300024,46,46,15124,1370,67,197,0,1106,51,825,230
1300025,187,187,63800,5426,615,1125,0,3686,514,2307,865
1300027,69,69,22402,1659,90,348,0,1221,145,898,178
1300028,162,162,57839,4972,472,755,0,3745,305,2818,622
1300031,90,90,28189,1896,142,275,0,1479,97,1155,227
1300032,102,102,32875,2383,210,609,0,1564,217,931,416
1300033,65,65,20510,1526,83,281,0,1162,117,843,202
1300034,47,47,14875,1535,101,331,0,1103,102,800,201
1300037,271,271,86638,9017,813,1363,0,6841,606,4608,1627
1300040,99,99,32798,2042,148,388,0,1506,141,1058,307
1300043,78,78,25053,2541,158,630,0,1753,168,1291,294
1300046,92,92,29363,1951,208,472,0,1271,157,909,205
1300049,69,69,22129,2113,117,436,0,1560,190,1101,269
1300052,31,31,8745,654,67,193,0,394,73,205,116
1300055,116,116,39286,4759,395,878,0,3486,493,2311,682
1300058,231,229,73305,6161,445,1484,0,4232,681,2639,912
1300060,89,89,28285,1957,132,494,0,1331,128,966,237
1300061,93,93,29327,2327,135,445,0,1747,292,1087,368
1500004,30,30,10001,1647,108,87,0,1452,185,1197,70
1500007,17,17,5545,1209,88,52,0,1069,119,900,50
1500010,41,41,13487,3460,197,217,0,3046,237,2667,142
1500013,38,38,12351,2773,158,143,0,2472,228,2134,110
1500016,31,31,9943,2684,172,176,0,2336,310,1932,94
1500019,7,7,2278,456,40,53,0,363,23,314,26
1500022,0,0,0,0,0,0,0,0,0,0,0
1500025,23,23,7519,2134,253,126,0,1755,266,1352,137
1500029,12,12,3687,263,19,16,0,228,47,156,25
1500030,31,31,9965,1957,101,67,0,1789,166,1538,85
1500031,201,201,65041,25415,1687,446,0,23282,2589,19640,1053
1500034,37,37,10960,1854,91,161,0,1602,92,1441,69
1500037,48,48,15096,3399,260,176,0,2963,328,2452,183
1500040,21,21,6504,1229,102,65,0,1062,126,886,50
