mpio_reg_code_7,mesas_total,mesas_escrutadas,censo,votantes,votos_nulos,votos_no_marcados,votos_blanco,votos_validos,cand_32_000001|HECTOR ELIAS PINEDA SALAZAR,cand_32_000002|EDISON LUCIO TORRES MORENO,cand_32_000003|ROY LEONARDO BARRERAS MONTEALEGRE,cand_32_000004|MARTHA VIVIANA BERNAL AMAYA,cand_32_000005|DANIEL QUINTERO CALLE
0300034,46,46,15079,1566,156,431,0,979,12,50,73,8,79
0300035,63,63,21208,2101,239,457,0,1405,16,44,113,11,72
0300037,121,121,39265,7995,780,1223,0,5992,40,88,592,56,326
0300040,70,70,22515,1664,133,369,0,1162,34,30,77,14,75
0300043,81,81,26445,3414,415,779,0,2220,22,63,207,17,130
0300046,236,236,76785,12272,1431,2548,0,8293,298,218,744,77,842
0300047,41,41,13524,825,57,122,0,646,6,6,54,4,27
0300049,87,87,27778,3383,331,434,0,2618,19,35,240,22,122
0300052,1049,1049,340919,44809,5717,7525,0,31567,414,828,2021,318,2075
0300055,36,36,11925,868,44,177,0,647,4,13,41,4,50
0300058,35,35,10767,809,98,134,0,577,6,14,49,5,38
0300061,28,28,9088,785,89,161,0,535,3,13,75,4,40
0500001,2641,2641,865352,130969,14631,19723,0,96615,817,1859,5134,705,5146
0500004,63,63,18977,2581,56,507,0,2018,7,32,228,20,66
0500005,25,25,7059,346,20,58,0,268,2,7,20,0,4
0500006,27,27,8527,359,8,83,0,268,2,4,14,2,10
0500007,175,175,60230,5774,675,1329,0,3770,40,104,140,35,175
0500009,33,33,10528,476,18,61,0,397,5,8,12,1,19
0500010,41,41,13138,703,34,116,0,553,6,15,63,4,33
0500013,64,64,21137,1256,109,236,0,911,0,0,0,0,0
0500014,26,26,8337,805,74,190,0,541,4,16,43,5,28
0500015,36,36,11730,595,38,88,0,469,2,9,95,1,34
0500016,49,49,15570,1816,79,609,0,1128,7,36,75,10,67
0500018,41,41,13098,1132,86,320,0,726,5,35,17,4,35
0500022,197,197,62634,6151,516,725,0,4910,20,81,734,30,183
0500025,28,28,8386,955,28,300,0,627,2,4,34,2,50
0500026,39,39,12501,827,36,122,0,669,1,7,13,6,14
0500027,22,22,6872,402,13,37,0,352,0,4,90,1,12
0500028,322,322,106180,12500,1363,2519,0,8618,70,294,413,60,421
0500031,69,69,23021,2167,136,634,0,1397,11,22,56,14,52
0500037,35,35,10645,479,20,24,0,435,2,2,18,4,8
0500040,142,141,45577,3111,290,909,0,1912,25,79,76,16,118
0500041,38,38,10814,1025,31,237,0,757,6,28,86,3,224
0500043,130,130,40405,3280,257,631,0,2392,12,35,238,19,75
0500044,44,44,13126,877,62,137,0,678,5,4,17,1,19
0500050,20,20,5332,188,11,17,0,160,1,3,11,3,6
0500059,66,66,19357,998,36,170,0,792,5,11,18,9,24
0500063,20,20,5710,237,25,40,0,172,2,3,5,0,6
0500065,25,25,7079,493,34,37,0,422,4,12,64,5,17
0500070,49,49,16593,1020,85,192,0,743,3,10,23,5,33
0500072,25,25,8168,493,68,94,0,331,4,6,24,3,11
0500073,36,36,10290,389,22,60,0,307,5,2,14,4,15
0500076,72,72,22377,2213,224,291,0,1698,6,25,98,9,66
0500078,25,25,7533,657,17,124,0,516,1,9,12,5,34
0500079,105,105,33286,3250,273,543,0,2434,10,37,70,12,94
0500082,41,41,13104,784,39,153,0,592,0,11,55,1,24
0500084,68,68,21201,1582,99,326,0,1157,8,24,44,9,69
0500091,43,43,14322,902,74,249,0,579,5,17,37,3,48
0500094,53,53,17470,1300,117,333,0,850,9,25,121,7,58
0500095,89,89,27650,4298,271,694,0,3333,11,30,92,46,97
0500097,51,51,14135,1312,99,249,0,964,0,13,53,16,36
0500106,27,27,9016,692,72,175,0,445,8,13,43,8,28
0500110,35,35,10684,1018,49,167,0,802,3,11,50,3,29
0500113,52,52,15502,730,38,166,0,526,6,14,14,5,29
0500118,220,220,76485,11375,1568,2116,0,7691,75,170,387,39,409
0500121,53,53,17049,1608,162,424,0,1022,11,55,38,7,67
0500124,55,55,17795,1739,162,440,0,1137,10,36,36,12,38
0500127,32,32,10186,427,33,185,0,209,2,4,34,1,13
0700001,424,424,141698,47115,3695,1253,0,42167,162,113,2737,235,1115
0700007,7,7,2014,270,14,14,0,242,1,0,6,1,7
0700008,47,47,13225,1871,131,178,0,1562,2,4,35,4,20
0700010,16,16,5254,742,51,25,0,666,2,2,38,1,12
0700013,22,22,7090,1873,133,111,0,1629,3,7,29,10,27
0700016,5,5,1509,299,11,33,0,255,0,3,10,1,10
0700019,7,7,1976,458,26,33,0,399,2,1,6,0,8
0700022,17,17,5047,1221,74,107,0,1040,0,6,24,2,15
0700025,14,14,4600,757,50,87,0,620,4,1,43,3,14
0700028,8,8,2497,539,20,41,0,478,1,2,3,3,7
0700031,17,17,5079,1064,50,115,0,899,1,4,15,9,8
0700034,4,4,1010,300,15,23,0,262,0,1,4,0,2
0700037,13,13,3292,581,32,18,0,531,1,0,13,0,12
0700040,9,9,2454,437,18,23,0,396,0,1,4,2,3
0700043,12,12,3685,699,39,22,0,638,3,4,23,4,22
0700046,12,12,3947,883,35,81,0,767,0,0,13,10,7
0700049,32,32,10139,2447,218,170,0,2059,10,5,109,9,64
0700052,13,13,3291,581,32,80,0,469,0,4,17,0,4
0700055,8,8,2424,761,46,46,0,669,3,1,25,1,14
0700058,12,12,3433,793,13,78,0,702,0,0,3,3,9
0700059,23,23,7044,608,61,120,0,427,3,1,23,4,16
0700060,11,11,3473,743,66,63,0,614,1,0,35,3,7
0700061,6,6,1904,486,23,40,0,423,2,1,15,0,4
0700064,10,10,3145,799,42,60,0,697,2,0,15,3,16
0700067,139,139,44576,11704,938,552,0,10214,30,34,289,43,249
0700068,16,16,4800,844,87,124,0,633,4,5,167,0,21
0700070,11,11,3319,727,38,98,0,591,1,4,15,4,5
0700073,24,24,6500,1123,44,129,0,950,1,6,15,4,4
0700076,19,19,5881,1242,35,79,0,1128,0,1,25,3,21
0700077,10,10,3338,817,53,62,0,702,0,1,39,3,20
0700078,7,7,1851,548,25,43,0,480,2,3,9,2,1
0700079,287,287,97678,29314,2333,911,0,26070,84,65,995,146,635
0700082,12,12,3486,706,31,74,0,601,1,3,7,5,7
0700085,8,8,2289,701,16,44,0,641,3,0,4,5,8
0700088,20,20,6131,1345,113,124,0,1108,2,7,73,14,34
0700091,12,12,3561,1003,39,34,0,930,3,0,34,5,9
0700094,10,10,3056,557,57,48,0,452,2,2,24,0,13
0700097,14,14,4125,1063,40,95,0,928,3,2,33,5,20
0700100,41,41,12682,3207,225,185,0,2797,9,11,100,12,59
0700103,5,5,1616,473,27,44,0,402,0,0,3,1,0
0700106,29,29,9329,2279,170,143,0,1966,8,9,58,7,38
0700109,12,12,3949,961,43,59,0,859,0,0,12,2,6
0700112,12,12,3173,487,23,41,0,423,2,1,8,2,5
0700118,7,7,2320,626,32,37,0,557,0,4,23,3,9
0700121,20,20,6452,1309,77,125,0,1107,2,5,29,8,19
0700124,12,12,3436,785,19,125,0,641,1,0,8,5,3
0700127,10,10,3185,562,24,72,0,466,3,1,11,1,5
0700130,8,8,2517,427,21,37,0,369,1,6,17,4,9
0700136,9,9,2512,701,25,54,0,622,4,1,11,4,14
0700137,7,7,1631,279,13,16,0,250,2,0,11,2,4
0700139,42,42,13752,3559,272,163,0,3124,1,3,112,12,55
0700142,12,12,3677,826,56,83,0,687,0,4,30,2,10
0700148,20,20,6078,1311,50,131,0,1130,0,2,28,3,9
0700151,24,24,7765,1548,131,154,0,1263,5,4,98,4,35
0700154,13,13,4176,1186,67,68,0,1051,0,3,13,4,2
0700157,13,13,4026,900,87,60,0,753,1,0,11,3,12
0700160,61,61,19917,4761,374,261,0,4126,8,22,143,19,97
0700161,19,19,5886,1302,163,117,0,1022,3,3,79,6,47
0700163,26,26,7704,1461,99,183,0,1179,5,23,16,11,17
0700166,42,42,13741,3608,322,189,0,3097,8,14,216,20,107
0700169,15,15,4998,723,66,66,0,591,1,2,31,2,20
0700173,9,9,2888,795,61,51,0,683,0,0,76,3,14
0700176,28,28,7253,1568,59,130,0,1379,3,2,82,9,11
0700178,6,6,1979,467,27,35,0,405,0,2,13,2,8
0700179,9,9,2450,561,26,59,0,476,0,1,13,1,8
0700181,95,95,30521,8514,611,353,0,7550,24,12,204,30,159
0700184,7,7,1779,334,18,35,0,281,0,1,4,1,2
0700187,5,5,1607,409,5,21,0,383,0,0,4,1,4
0700190,23,23,7067,1697,74,144,0,1479,0,11,24,5,26
0700193,7,7,1749,255,11,28,0,216,0,0,2,1,2
0700199,14,14,4127,654,51,27,0,576,4,0,41,8,27
0700202,21,21,6588,1402,84,117,0,1201,4,6,19,8,18
0700205,4,4,1261,254,10,43,0,201,0,1,1,1,4
0700214,125,125,39982,9531,991,988,0,7552,24,54,200,67,414
0700215,18,18,5141,1100,48,132,0,920,3,8,9,3,22
0700217,30,30,9526,2387,154,225,0,2008,4,6,93,10,50
0700220,18,18,5564,1241,120,100,0,1021,3,5,23,9,19
0700223,8,8,2314,476,20,40,0,416,1,1,16,1,14
0700226,36,36,10709,1453,110,95,0,1248,3,3,47,2,17
0700232,14,14,4348,1062,77,82,0,903,3,3,156,1,24
0700235,50,50,16357,3597,310,282,0,3005,6,13,263,18,73
0700237,5,5,1552,194,6,11,0,177,0,0,8,1,4
0700238,19,19,5642,1275,43,88,0,1144,2,2,37,3,8
0700241,16,16,4281,959,53,51,0,855,0,1,22,1,7
0700247,11,11,3606,1058,33,79,0,946,1,4,37,1,7
0700248,9,9,2910,771,58,35,0,678,1,3,19,2,9
0700249,20,20,6103,1519,60,131,0,1328,2,6,43,2,23
0700250,23,23,7368,1385,68,92,0,1225,4,5,30,5,25
0700251,12,12,3202,621,63,52,0,506,7,6,11,5,23
0700253,28,28,8921,2934,211,154,0,2569,7,3,76,9,64
0700256,10,10,3290,828,61,67,0,700,2,0,18,0,14
