mpio_reg_code_7,mesas_total,mesas_escrutadas,censo,votantes,votos_nulos,votos_no_marcados,votos_blanco,votos_validos,cand_30_000001|CLAUDIA NAYIBE LOPEZ HERNANDEZ,cand_30_000002|LEONARDO HUMBERTO HUERTA GUTIERREZ
0700283,20,20,6282,1193,81,57,0,1055,127,4
0700286,9,9,2565,367,13,7,0,347,31,1
0700289,19,19,6320,1622,104,88,0,1430,162,18
0700292,12,12,3946,1027,64,86,0,877,90,7
0700298,15,15,5005,632,45,28,0,559,51,0
0700301,11,11,3642,464,14,15,0,435,57,1
0700304,25,25,7677,1453,78,179,0,1196,121,4
0700307,31,31,10294,2653,211,158,0,2284,350,10
0700310,10,10,3128,771,47,38,0,686,70,11
0700311,12,12,3682,810,25,118,0,667,45,1
0700313,25,25,8116,1493,139,134,0,1220,164,4
0700316,14,14,4538,778,28,69,0,681,43,0
0700319,12,12,3513,910,44,48,0,818,68,1
0700322,15,15,4546,821,48,155,0,618,76,6
0700324,5,5,1596,310,22,48,0,240,11,0
0700325,18,18,5784,1225,90,113,0,1022,189,2
0700328,27,27,8597,2069,173,142,0,1754,269,2
0700331,7,7,2099,295,11,10,0,274,21,2
0700334,18,18,5889,1141,57,111,0,973,124,8
0700337,37,37,12079,1615,100,75,0,1440,189,3
0700340,8,8,2553,525,40,51,0,434,40,2
0700346,14,14,4666,877,43,75,0,759,80,6
0900001,1065,1065,348772,102350,8221,4808,0,89321,8324,458
0900004,63,63,19292,2851,137,278,0,2436,136,13
0900007,96,96,29710,5501,350,613,0,4538,292,29
0900013,40,40,11416,2053,96,226,0,1731,131,4
0900022,33,33,10510,1749,57,120,0,1572,43,6
0900034,148,148,47735,7849,634,579,0,6636,598,54
0900037,31,31,9402,1505,74,200,0,1231,77,13
0900049,183,183,58225,8488,1027,761,0,6700,547,55
0900052,20,20,5728,659,17,37,0,605,27,0
0900055,51,51,15777,2216,78,169,0,1969,136,8
0900058,25,25,7793,581,35,73,0,473,37,3
0900061,39,39,12546,3076,114,318,0,2644,128,10
0900067,9,9,2421,493,23,123,0,347,34,1
0900076,65,65,20188,3378,195,333,0,2850,233,15
0900078,22,22,6868,667,46,70,0,551,60,6
0900079,42,42,12207,1919,84,219,0,1616,96,20
0900082,48,48,15170,1811,117,171,0,1523,108,11
0900085,55,55,16830,3714,122,401,0,3191,138,9
0900103,130,130,41515,6731,484,621,0,5626,423,30
0900106,34,34,10724,1290,89,116,0,1085,54,4
0900109,49,49,15051,1918,82,78,0,1758,89,4
0900115,54,54,16905,2281,107,253,0,1921,96,12
0900120,17,17,5070,659,28,50,0,581,28,4
0900124,78,78,24116,4421,491,536,0,3394,282,31
