mpio_reg_code_7,votantes,votos_validos,votos_blanco,votos_nulos,votos_no_marcados,mesas_total,mesas_escrutadas,indig_0006,indig_0011,indig_0188,indig_0234,indig_0237,indig_0252,indig_0285,indig_0300,indig_0306,indig_0347
0300052,4584,3273,969,533,778,1049,1036,1617,225,95,15,15,18,161,79,45,34
0300055,221,127,5,62,32,36,35,108,2,10,0,0,0,1,1,0,0
0300058,45,12,6,14,19,35,34,3,0,0,0,0,0,1,2,0,0
0300061,66,24,12,15,27,28,27,5,5,1,0,0,0,0,1,0,0
0500001,7055,3862,1738,1668,1525,2641,2637,93,1426,160,53,29,22,138,137,44,22
0500004,31,5,3,19,7,63,63,0,0,0,0,0,0,0,0,0,0
0500005,36,5,3,19,12,25,24,0,2,0,0,0,0,0,0,0,0
0500006,29,2,1,14,13,27,27,0,0,0,0,0,0,0,0,0,0
0500007,498,129,104,192,177,175,175,0,0,0,0,0,0,0,0,0,0
0500009,45,14,13,23,8,33,33,0,0,0,0,0,0,0,0,0,0
0500010,37,6,4,20,11,41,41,0,0,0,0,0,0,0,0,0,0
0500013,346,77,16,201,68,64,62,58,0,0,3,0,0,0,0,0,0
0500014,35,1,1,23,11,26,26,0,0,0,0,0,0,0,0,0,0
0500015,64,1,1,54,9,36,36,0,0,0,0,0,0,0,0,0,0
0500016,50,19,2,15,16,49,49,0,0,0,0,0,0,0,0,0,0
0500018,138,20,14,59,59,41,41,0,0,0,0,0,0,0,0,0,0
0500022,349,89,44,172,88,197,196,4,31,3,0,1,0,4,1,0,1
0500025,36,6,4,25,5,28,28,0,0,0,0,0,0,0,0,0,0
0500026,55,27,3,11,17,39,39,0,0,0,0,0,0,0,0,0,0
0500027,13,1,0,11,1,22,22,0,0,0,0,0,0,0,0,0,0
0500028,340,64,42,187,89,322,321,6,9,0,0,2,1,1,0,3,0
0500031,156,31,29,78,47,69,69,0,0,0,0,0,0,0,0,0,0
0500037,27,0,0,12,15,35,35,0,0,0,0,0,0,0,0,0,0
0500040,431,56,32,228,147,142,142,0,0,0,0,0,0,0,0,0,0
0500041,48,5,4,19,24,38,38,0,0,0,0,0,0,0,0,0,0
0500043,201,63,43,98,40,130,129,15,2,0,2,0,0,1,0,0,0
0500044,79,6,6,47,26,44,44,0,0,0,0,0,0,0,0,0,0
0500050,6,2,1,4,0,20,20,0,0,0,0,0,0,0,0,0,0
0500059,44,0,0,33,11,66,66,0,0,0,0,0,0,0,0,0,0
0500063,34,3,3,22,9,20,20,0,0,0,0,0,0,0,0,0,0
0500065,24,1,1,12,11,25,25,0,0,0,0,0,0,0,0,0,0
0500070,132,61,30,42,29,49,49,0,0,0,0,0,0,0,0,0,0
0500072,66,20,3,24,22,25,25,0,0,0,0,0,0,0,0,0,0
0500073,22,2,2,18,2,36,36,0,0,0,0,0,0,0,0,0,0
0500076,215,69,16,73,73,72,72,0,0,0,0,0,0,0,0,0,0
0500078,18,1,0,13,4,25,25,0,0,0,0,0,0,0,0,0,0
0500079,525,390,22,64,71,105,105,0,0,0,0,0,0,0,0,0,0
0500082,149,30,22,64,55,41,41,0,0,0,0,0,0,0,0,0,0
0500084,130,24,20,53,53,68,68,0,0,0,0,0,0,0,0,0,0
0500091,36,5,4,16,15,43,43,0,0,0,0,0,0,0,0,0,0
0500094,210,61,38,86,63,53,52,0,23,0,0,0,0,0,0,0,0
0500095,62,38,24,8,16,89,89,0,0,0,0,0,0,0,0,0,0
0500097,52,21,9,15,16,51,51,0,0,0,0,0,0,0,0,0,0
0500106,70,22,11,31,17,27,27,0,0,0,0,0,0,0,0,0,0
0500110,39,15,3,15,9,35,35,0,0,0,0,0,0,0,0,0,0
0500113,41,8,2,24,9,52,52,0,0,0,0,0,0,0,0,0,0
0500118,755,308,214,227,220,220,219,9,52,6,3,4,2,7,5,4,2
0500121,96,11,11,26,59,53,53,0,0,0,0,0,0,0,0,0,0
0500124,232,44,29,107,81,55,55,0,0,0,0,0,0,0,0,0,0
0500127,24,6,0,13,5,32,32,0,0,0,0,0,0,0,0,0,0
0700001,926,785,215,92,49,424,424,0,0,0,0,0,0,0,0,0,0
0700007,1,1,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0
0700008,33,10,4,8,15,47,47,0,0,0,0,0,0,0,0,0,0
0700010,0,0,0,0,0,16,16,0,0,0,0,0,0,0,0,0,0
0700013,14,4,4,7,3,22,22,0,0,0,0,0,0,0,0,0,0
0700016,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0
0700019,31,19,6,6,6,7,7,0,0,0,0,0,0,0,0,0,0
0700022,0,0,0,0,0,17,17,0,0,0,0,0,0,0,0,0,0
0700025,14,6,0,0,8,14,14,0,0,0,0,0,0,0,0,0,0
0700028,4,3,3,1,0,8,8,0,0,0,0,0,0,0,0,0,0
0700031,5,2,2,0,3,17,17,0,0,0,0,0,0,0,0,0,0
0700034,1,1,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0
0700037,1,1,1,0,0,13,13,0,0,0,0,0,0,0,0,0,0
0700040,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0
0700043,27,4,2,10,13,12,12,0,0,0,0,0,0,0,0,0,0
0700046,18,17,6,0,1,12,12,0,0,0,0,0,0,0,0,0,0
0700049,108,66,24,16,26,32,32,0,0,0,0,0,0,0,0,0,0
0700052,2,1,0,0,1,13,13,0,0,0,0,0,0,0,0,0,0
0700055,3,3,2,0,0,8,8,0,0,0,0,0,0,0,0,0,0
0700058,13,6,6,6,1,12,12,0,0,0,0,0,0,0,0,0,0
0700059,185,153,17,18,14,23,23,0,0,0,0,0,0,0,0,0,0
0700060,15,15,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0
0700061,25,25,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0
0700064,8,5,5,1,2,10,10,0,0,0,0,0,0,0,0,0,0
0700067,141,70,54,45,26,139,139,0,0,0,0,0,0,0,0,0,0
0700068,2,2,0,0,0,16,16,0,0,0,0,0,0,0,0,0,0
0700070,8,3,3,2,3,11,11,0,0,0,0,0,0,0,0,0,0
0700073,13,1,1,4,8,24,24,0,0,0,0,0,0,0,0,0,0
0700076,14,2,1,5,7,19,19,0,0,0,0,0,0,0,0,0,0
0700077,1,0,0,1,0,10,10,0,0,0,0,0,0,0,0,0,0
0700078,13,3,3,3,7,7,7,0,0,0,0,0,0,0,0,0,0
0700079,278,229,74,24,25,287,287,0,0,0,0,0,0,0,0,0,0
