mpio_reg_code_7,dept_reg_code,dept_name,mpio_name,is_exterior,censo,num_mesas
0700059,0700,BOYACA,CUBARA,False,7044,23
0700060,0700,BOYACA,CUCAITA,False,3473,11
0700061,0700,BOYACA,CUITIVA,False,1904,6
0700064,0700,BOYACA,CHINAVITA,False,3145,10
0700067,0700,BOYACA,CHIQUINQUIRA,False,44576,139
0700068,0700,BOYACA,CHIQUIZA,False,4800,16
0700070,0700,BOYACA,CHISCAS,False,3319,11
0700073,0700,BOYACA,CHITA,False,6500,24
0700076,0700,BOYACA,CHITARAQUE,False,5881,19
0700077,0700,BOYACA,CHIVATA,False,3338,10
0700078,0700,BOYACA,CHIVOR,False,1851,7
0700079,0700,BOYACA,DUITAMA,False,97678,287
0700082,0700,BOYACA,EL COCUY,False,3486,12
0700085,0700,BOYACA,EL ESPINO,False,2289,8
0700088,0700,BOYACA,FIRAVITOBA,False,6131,20
0700091,0700,BOYACA,FLORESTA,False,3561,12
0700094,0700,BOYACA,GACHANTIVA,False,3056,10
0700097,0700,BOYACA,GAMEZA,False,4125,14
0700100,0700,BOYACA,GARAGOA,False,12682,41
0700103,0700,BOYACA,GUACAMAYAS,False,1616,5
0700106,0700,BOYACA,GUATEQUE,False,9329,29
0700109,0700,BOYACA,GUAYATA,False,3949,12
0700112,0700,BOYACA,GUICAN,False,3173,12
0700118,0700,BOYACA,IZA,False,2320,7
0700121,0700,BOYACA,JENESANO,False,6452,20
0700124,0700,BOYACA,JERICO,False,3436,12
0700127,0700,BOYACA,LABRANZAGRANDE,False,3185,10
0700130,0700,BOYACA,LA CAPILLA,False,2517,8
0700136,0700,BOYACA,LA UVITA,False,2512,9
0700137,0700,BOYACA,LA VICTORIA,False,1631,7
0700139,0700,BOYACA,VILLA DE LEIVA,False,13752,42
0700142,0700,BOYACA,MACANAL,False,3677,12
0700148,0700,BOYACA,MARIPI,False,6078,20
0700151,0700,BOYACA,MIRAFLORES,False,7765,24
0700154,0700,BOYACA,MONGUA,False,4176,13
0700157,0700,BOYACA,MONGUI,False,4026,13
0700160,0700,BOYACA,MONIQUIRA,False,19917,61
0700161,0700,BOYACA,MOTAVITA,False,5886,19
0700163,0700,BOYACA,MUZO,False,7704,26
0700166,0700,BOYACA,NOBSA,False,13741,42
0700169,0700,BOYACA,NUEVO COLON,False,4998,15
0700173,0700,BOYACA,OICATA,False,2888,9
0700176,0700,BOYACA,OTANCHE,False,7253,28
