mesa_code,puesto_code,mesa_num,num_mesas,censo,puesto_name,zona_code,zona_name,mpio_reg_code_7,mpio_name,dept_reg_code,dept_name,is_exterior
3100001020005000006,3100001020005,6,1,340,ACADEMIA DE DIBUJO PROFESIONAL,310000102,ZONA02,3100001,CALI,3100,VALLE,False
3100001020005000007,3100001020005,7,1,340,ACADEMIA DE DIBUJO PROFESIONAL,310000102,ZONA02,3100001,CALI,3100,VALLE,False
3100001020005000008,3100001020005,8,1,340,ACADEMIA DE DIBUJO PROFESIONAL,310000102,ZONA02,3100001,CALI,3100,VALLE,False
3100001020005000009,3100001020005,9,1,340,ACADEMIA DE DIBUJO PROFESIONAL,310000102,ZONA02,3100001,CALI,3100,VALLE,False
3100001020005000010,3100001020005,10,1,340,ACADEMIA DE DIBUJO PROFESIONAL,310000102,ZONA02,3100001,CALI,3100,VALLE,False
3100001020005000011,3100001020005,11,1,340,ACADEMIA DE DIBUJO PROFESIONAL,310000102,ZONA02,3100001,CALI,3100,VALLE,False
3100001020005000012,3100001020005,12,1,340,ACADEMIA DE DIBUJO PROFESIONAL,310000102,ZONA02,3100001,CALI,3100,VALLE,False
3100001020005000013,3100001020005,13,1,340,ACADEMIA DE DIBUJO PROFESIONAL,310000102,ZONA02,3100001,CALI,3100,VALLE,False
3100001020005000014,3100001020005,14,1,340,ACADEMIA DE DIBUJO PROFESIONAL,310000102,ZONA02,3100001,CALI,3100,VALLE,False
3100001020005000015,3100001020005,15,1,340,ACADEMIA DE DIBUJO PROFESIONAL,310000102,ZONA02,3100001,CALI,3100,VALLE,False
3100001020005000016,3100001020005,16,1,340,ACADEMIA DE DIBUJO PROFESIONAL,310000102,ZONA02,3100001,CALI,3100,VALLE,False
3100001020005000017,3100001020005,17,1,340,ACADEMIA DE DIBUJO PROFESIONAL,310000102,ZONA02,3100001,CALI,3100,VALLE,False
3100001020005000018,3100001020005,18,1,340,ACADEMIA DE DIBUJO PROFESIONAL,310000102,ZONA02,3100001,CALI,3100,VALLE,False
3100001020005000019,3100001020005,19,1,340,ACADEMIA DE DIBUJO PROFESIONAL,310000102,ZONA02,3100001,CALI,3100,VALLE,False
3100001020005000020,3100001020005,20,1,340,ACADEMIA DE DIBUJO PROFESIONAL,310000102,ZONA02,3100001,CALI,3100,VALLE,False
3100001020005000021,3100001020005,21,1,340,ACADEMIA DE DIBUJO PROFESIONAL,310000102,ZONA02,3100001,CALI,3100,VALLE,False
3100001020005000022,3100001020005,22,1,340,ACADEMIA DE DIBUJO PROFESIONAL,310000102,ZONA02,3100001,CALI,3100,VALLE,False
3100001020005000023,3100001020005,23,1,340,ACADEMIA DE DIBUJO PROFESIONAL,310000102,ZONA02,3100001,CALI,3100,VALLE,False
3100001020005000024,3100001020005,24,1,340,ACADEMIA DE DIBUJO PROFESIONAL,310000102,ZONA02,3100001,CALI,3100,VALLE,False
3100001020005000025,3100001020005,25,1,340,ACADEMIA DE DIBUJO PROFESIONAL,310000102,ZONA02,3100001,CALI,3100,VALLE,False
3100001020005000026,3100001020005,26,1,340,ACADEMIA DE DIBUJO PROFESIONAL,310000102,ZONA02,3100001,CALI,3100,VALLE,False
3100001020005000027,3100001020005,27,1,340,ACADEMIA DE DIBUJO PROFESIONAL,310000102,ZONA02,3100001,CALI,3100,VALLE,False
3100001020005000028,3100001020005,28,1,340,ACADEMIA DE DIBUJO PROFESIONAL,310000102,ZONA02,3100001,CALI,3100,VALLE,False
3100001020005000029,3100001020005,29,1,340,ACADEMIA DE DIBUJO PROFESIONAL,310000102,ZONA02,3100001,CALI,3100,VALLE,False
3100001020005000030,3100001020005,30,1,119,ACADEMIA DE DIBUJO PROFESIONAL,310000102,ZONA02,3100001,CALI,3100,VALLE,False
3100001280004000001,3100001280004,1,1,340,ACADEMIA JOSE MARIA CABAL,310000128,ZONA28,3100001,CALI,3100,VALLE,False
3100001280004000002,3100001280004,2,1,340,ACADEMIA JOSE MARIA CABAL,310000128,ZONA28,3100001,CALI,3100,VALLE,False
