organizacion_id,organizacion,tipo_organizacion,grupo_id,grupo,grupo_n_orgs,es_ancla,listas,candidatos,reg,prov,dist,n_departamentos,departamentos,integrantes
3045,PARTIDO DEMOCRATICO SOMOS PERU,ALIANZAS ELECTORALES,14,PARTIDO DEMOCRATICO SOMOS PERU + ALIADOS,2,False,37,310,1,5,31,1,PUNO,PARTIDO DEMOCRATICO SOMOS PERU | MOVIMIENTO REGIONAL SENTIMIENTO AMAZONENSE REGIONAL
2857,PARTIDO FRENTE DE LA ESPERANZA 2021,PARTIDOS POLITICOS,2857,PARTIDO FRENTE DE LA ESPERANZA 2021,1,True,157,1415,4,23,130,13,AMAZONAS | ANCASH | APURIMAC | AREQUIPA | AYACUCHO | CAJAMARCA | CUSCO | LA LIBERTAD | LIMA | MOQUEGUA | PASCO | PUNO | TACNA,
2840,PARTIDO MORADO,PARTIDOS POLITICOS,2840,PARTIDO MORADO,1,True,52,572,2,5,45,14,AMAZONAS | ANCASH | AREQUIPA | CAJAMARCA | HUANUCO | ICA | JUNIN | LAMBAYEQUE | LIMA | LORETO | PIURA | SAN MARTIN | TACNA | TUMBES,
2956,PARTIDO PAIS PARA TODOS,PARTIDOS POLITICOS,2956,PARTIDO PAIS PARA TODOS,1,True,350,3057,9,52,289,16,ANCASH | AREQUIPA | CAJAMARCA | CUSCO | HUANUCO | JUNIN | LA LIBERTAD | LAMBAYEQUE | LIMA | LORETO | MADRE DE DIOS | MOQUEGUA | PIURA | PUNO | TACNA | UCAYALI,
2869,PARTIDO PATRIOTICO DEL PERU,PARTIDOS POLITICOS,2869,PARTIDO PATRIOTICO DEL PERU,1,True,31,439,2,9,20,11,AMAZONAS | ANCASH | AREQUIPA | AYACUCHO | CAJAMARCA | CUSCO | LA LIBERTAD | LIMA | LORETO | MOQUEGUA | PIURA,
2979,PARTIDO POLITICO ADP,PARTIDOS POLITICOS,2979,PARTIDO POLITICO ADP,1,True,5,63,0,1,4,2,LA LIBERTAD | LIMA,
2985,PARTIDO POLITICO INTEGRIDAD DEMOCRATICA,PARTIDOS POLITICOS,2985,PARTIDO POLITICO INTEGRIDAD DEMOCRATICA,1,True,6,88,0,2,4,5,AMAZONAS | AREQUIPA | LIMA | PIURA | TUMBES,
2218,PARTIDO POLITICO NACIONAL PERU LIBRE,PARTIDOS POLITICOS,2218,PARTIDO POLITICO NACIONAL PERU LIBRE,1,True,73,695,2,10,61,15,AMAZONAS | ANCASH | AREQUIPA | CAJAMARCA | CUSCO | HUANCAVELICA | ICA | LA LIBERTAD | LIMA | LORETO | PUNO | SAN MARTIN | TACNA | TUMBES | UCAYALI,
2932,PARTIDO POLITICO PERU ACCION,PARTIDOS POLITICOS,2932,PARTIDO POLITICO PERU ACCION,1,True,11,113,0,2,9,8,AMAZONAS | ANCASH | CALLAO | CUSCO | LA LIBERTAD | LIMA | LORETO | UCAYALI,
2925,PARTIDO POLITICO PERU PRIMERO,PARTIDOS POLITICOS,2925,PARTIDO POLITICO PERU PRIMERO,1,True,930,7753,17,116,797,24,AMAZONAS | ANCASH | APURIMAC | AREQUIPA | AYACUCHO | CAJAMARCA | CUSCO | HUANCAVELICA | HUANUCO | ICA | JUNIN | LA LIBERTAD | LAMBAYEQUE | LIMA | LORETO | MADRE DE DIOS | MOQUEGUA | PASCO | PIURA | PUNO | SAN MARTIN | TACNA | TUMBES | UCAYALI,
2921,PARTIDO POLITICO PRIN,PARTIDOS POLITICOS,2921,PARTIDO POLITICO PRIN,1,True,135,1219,2,20,113,10,ANCASH | CALLAO | CUSCO | HUANCAVELICA | LA LIBERTAD | LAMBAYEQUE | LIMA | LORETO | PASCO | PIURA,
3001,PARTIDO POLITICO PUEBLO CONSCIENTE,PARTIDOS POLITICOS,3001,PARTIDO POLITICO PUEBLO CONSCIENTE,1,True,67,945,12,43,12,21,AMAZONAS | ANCASH | APURIMAC | AREQUIPA | AYACUCHO | CAJAMARCA | CALLAO | CUSCO | HUANCAVELICA | HUANUCO | JUNIN | LAMBAYEQUE | LIMA | LORETO | MADRE DE DIOS | PASCO | PIURA | PUNO | SAN MARTIN | TACNA | UCAYALI,
3005,PARTIDO POLITICO TODO CON EL PUEBLO,PARTIDOS POLITICOS,3005,PARTIDO POLITICO TODO CON EL PUEBLO,1,True,33,477,9,12,12,13,AMAZONAS | APURIMAC | AREQUIPA | AYACUCHO | CAJAMARCA | CUSCO | HUANCAVELICA | LAMBAYEQUE | PASCO | PUNO | SAN MARTIN | TACNA | TUMBES,
2943,PARTIDO POPULAR CRISTIANO - PPC,PARTIDOS POLITICOS,2943,PARTIDO POPULAR CRISTIANO - PPC,1,True,129,1478,7,20,102,16,AMAZONAS | ANCASH | AREQUIPA | CALLAO | HUANCAVELICA | HUANUCO | ICA | JUNIN | LA LIBERTAD | LAMBAYEQUE | LIMA | LORETO | MADRE DE DIOS | MOQUEGUA | PIURA | UCAYALI,
2935,PARTIDO SICREO,PARTIDOS POLITICOS,2935,PARTIDO SICREO,1,True,15,171,0,3,12,4,LA LIBERTAD | LIMA | MOQUEGUA | TACNA,
2924,PERU MODERNO,PARTIDOS POLITICOS,2924,PERU MODERNO,1,True,89,850,3,16,70,14,AMAZONAS | ANCASH | AREQUIPA | CUSCO | HUANUCO | ICA | JUNIN | LAMBAYEQUE | LIMA | LORETO | MADRE DE DIOS | MOQUEGUA | TACNA | UCAYALI,
2731,PODEMOS PERU,PARTIDOS POLITICOS,2731,PODEMOS PERU,1,True,894,7492,14,109,771,23,AMAZONAS | ANCASH | APURIMAC | AREQUIPA | AYACUCHO | CAJAMARCA | CUSCO | HUANCAVELICA | HUANUCO | ICA | JUNIN | LA LIBERTAD | LAMBAYEQUE | LIMA | LORETO | MOQUEGUA | PASCO | PIURA | PUNO | SAN MARTIN | TACNA | TUMBES | UCAYALI,
2931,"PRIMERO LA GENTE - COMUNIDAD, ECOLOGIA, LIBERTAD Y PROGRESO",PARTIDOS POLITICOS,2931,"PRIMERO LA GENTE - COMUNIDAD, ECOLOGIA, LIBERTAD Y PROGRESO",1,True,44,294,10,24,10,21,AMAZONAS | ANCASH | AREQUIPA | CAJAMARCA | CALLAO | CUSCO | HUANUCO | ICA | JUNIN | LA LIBERTAD | LAMBAYEQUE | LIMA | LORETO | MADRE DE DIOS | MOQUEGUA | PASCO | PIURA | PUNO | TACNA | TUMBES | UCAYALI,
2967,PROGRESEMOS,PARTIDOS POLITICOS,2967,PROGRESEMOS,1,True,423,3682,9,58,356,18,ANCASH | APURIMAC | AREQUIPA | CALLAO | CUSCO | HUANUCO | ICA | JUNIN | LA LIBERTAD | LAMBAYEQUE | LIMA | LORETO | MADRE DE DIOS | MOQUEGUA | PIURA | PUNO | TACNA | UCAYALI,
