mpio_reg_code_7,censo,votantes,votos_nulos,votos_no_marcados,votos_blanco,votos_validos,mesas_total,mesas_escrutadas,cand_cepeda,cand_valencia,cand_delaespriella,cand_claudialopez,cand_barreras,cand_fajardo,cand_caicedo,cand_lizcano,cand_uribe,cand_botero,cand_macollins,cand_matamoros,cand_murillo
2900085,23599,10948,151,77,157,10720,80,76,3825,1505,4755,97,18,122,7,23,58,104,28,8,13
2900087,8607,4304,50,17,74,4237,25,25,1317,525,2160,15,2,43,7,4,17,65,4,2,2
2900088,5682,3200,30,9,56,3161,18,18,1374,194,1421,7,2,55,1,8,5,32,5,0,1
2900089,24559,10538,175,70,263,10293,75,75,3475,1164,4800,65,32,171,13,22,36,208,28,6,10
2900091,7879,4262,34,12,45,4216,26,26,1111,390,2523,13,5,70,2,6,4,40,4,0,3
2900094,20378,12176,166,30,192,11980,61,61,4918,1179,5234,76,22,163,11,30,22,117,8,2,6
2900097,18185,6780,94,53,174,6633,58,58,1723,808,3562,64,9,108,8,13,24,105,18,2,15
2900100,4407,1892,28,7,53,1857,14,14,377,228,1114,12,4,36,2,1,7,19,3,0,1
2900103,21600,10023,132,30,193,9861,70,70,1952,1571,5659,60,17,138,6,21,31,161,32,5,15
2900105,13007,7147,86,27,122,7034,38,36,2212,901,3460,47,8,152,3,11,12,90,11,0,5
2900106,10723,5187,69,27,63,5091,32,32,1165,847,2786,33,8,79,2,8,13,73,9,1,4
2900109,12259,7344,82,22,86,7240,42,42,1553,773,4568,35,10,85,5,7,16,81,13,0,8
2900112,5728,2603,31,10,40,2562,24,24,516,436,1446,9,1,51,2,4,6,42,5,2,2
2900115,4811,2743,25,11,37,2707,17,17,697,408,1472,10,6,28,0,4,6,35,1,1,2
2900118,4824,2821,19,14,27,2788,17,17,466,525,1674,7,7,26,0,7,18,25,3,0,3
2900121,11870,6454,90,23,89,6341,38,38,2527,601,2842,32,5,96,2,19,13,101,10,1,3
2900124,7010,3357,48,23,84,3286,25,25,805,1006,1214,19,6,72,0,9,16,42,9,2,2
2900127,5150,2801,20,5,36,2776,17,17,569,335,1769,4,1,27,0,11,3,16,3,1,1
3100001,1839148,1043706,8884,1287,19866,1033535,5158,5068,531004,55242,365173,6817,691,45309,354,1472,796,5081,754,257,719
3100004,12604,6412,122,32,108,6258,38,38,2456,481,2833,37,4,133,6,7,10,165,10,0,8
3100007,19976,10306,111,21,170,10174,59,55,5637,496,3375,44,8,289,1,12,14,117,6,0,5
3100010,18690,8531,131,42,162,8358,64,64,2708,1561,3422,53,11,201,6,10,26,174,12,1,11
3100013,5755,2772,36,7,32,2729,20,20,586,621,1357,15,2,49,0,3,6,53,2,0,3
3100016,13234,6930,70,15,94,6845,47,43,2152,1035,3274,23,6,122,4,7,7,105,10,1,5
3100019,233201,90257,1384,239,1216,88634,690,681,71138,3264,10700,279,92,844,55,159,85,574,57,47,124
3100022,109762,64531,681,91,1165,63759,339,328,36045,2638,20348,345,35,2490,12,76,58,465,34,19,29
3100025,20937,11662,108,28,173,11526,67,65,7424,518,2951,40,11,243,8,11,13,115,7,1,11
3100028,27415,14286,297,56,267,13933,88,88,4478,1681,6695,107,30,406,16,32,24,163,17,3,14
3100031,89247,53012,770,89,1080,52153,262,255,35247,2277,11342,285,33,1267,28,102,34,372,54,5,27
3100034,122213,66940,1040,162,1346,65738,353,353,24806,4669,30265,477,42,2887,34,102,96,849,60,31,74
3100037,38323,19406,253,66,405,19087,122,120,9098,1598,7155,108,21,287,9,38,51,274,23,9,11
3100040,15587,8489,136,29,205,8324,54,53,3628,470,3573,57,5,221,4,22,8,115,10,2,4
3100043,7643,3765,52,17,82,3696,31,31,717,762,1927,23,2,73,2,7,17,70,6,2,6
3100046,6468,680,7,2,20,671,24,7,202,101,318,2,2,9,0,1,1,12,1,0,2
3100049,56109,30724,346,51,489,30327,167,163,20204,1153,7386,117,11,654,12,38,25,206,13,4,15
3100052,10555,5289,98,30,130,5161,38,38,1627,380,2646,27,13,130,4,17,16,150,14,0,7
3100055,54892,31818,387,51,475,31380,164,164,22399,1427,6025,125,16,649,8,38,19,167,10,1,21
3100058,19287,11195,141,24,220,11030,59,59,5636,774,3920,54,7,248,6,14,18,116,10,2,5
3100061,30395,17547,216,21,284,17310,92,91,11781,856,3793,57,13,352,7,17,15,117,9,3,6
3100064,132159,79876,1122,192,1757,78562,382,371,43522,3599,25360,495,45,2771,37,119,91,590,85,19,72
3100067,14324,8090,78,22,160,7990,45,45,3864,663,2973,44,12,145,3,29,15,65,9,3,5
3100070,28211,16099,332,56,331,15711,86,83,3935,1217,9066,119,16,587,8,36,34,328,18,5,11
3100073,11566,6236,85,17,130,6134,37,37,1816,550,3343,34,8,122,4,9,8,99,6,1,4
3100076,10871,5402,111,26,79,5265,35,35,2772,370,1783,18,5,90,2,8,9,122,5,0,2
3100079,289345,160242,1712,263,3311,158267,850,826,86896,7802,50895,1049,87,6316,47,267,151,1093,203,35,115
3100082,42523,23300,328,58,425,22914,132,130,15915,899,4815,99,24,492,4,34,19,161,9,5,13
3100085,16292,8048,148,21,149,7879,53,53,3354,480,3543,31,6,160,0,14,9,127,3,1,2
3100088,15993,8244,122,37,112,8085,49,48,3357,800,3401,43,8,170,5,16,20,134,13,2,4
3100091,31529,19494,254,38,333,19202,106,106,7297,1518,8798,97,9,783,15,35,18,276,16,1,6
3100094,15255,8044,101,24,135,7919,53,51,4155,524,2751,46,1,150,3,12,5,123,8,4,2
3100097,37664,19024,420,102,352,18502,119,116,7616,2070,7389,138,19,557,10,43,41,223,28,5,11
3100100,12816,5266,93,23,100,5150,43,37,1354,767,2602,26,6,117,1,8,13,139,10,2,5
3100103,16797,8816,136,37,151,8643,56,56,2863,1059,4086,43,17,200,0,15,17,164,16,5,7
3100106,173667,96793,1378,161,1902,95254,513,498,41847,5218,40208,554,84,3952,38,117,130,1021,76,25,82
3100109,5383,2622,46,18,44,2558,18,18,1081,302,992,14,2,38,2,4,11,65,1,0,2
3100112,7419,3802,46,17,61,3739,32,32,788,603,2086,19,6,77,2,9,6,69,7,2,4
3100115,11456,6494,65,14,98,6415,37,37,3828,689,1591,25,3,107,2,6,9,50,4,0,3
3100118,15667,8483,129,29,156,8325,51,51,4636,505,2680,38,12,184,3,14,16,74,4,2,1
3100121,112799,56965,477,93,875,56395,334,290,38868,2561,12004,255,30,1254,16,68,34,362,31,12,25
3100124,40013,22550,247,37,336,22266,120,119,13434,1190,6332,82,20,570,11,25,17,229,10,2,8
4000001,81993,35472,415,63,661,34994,242,240,7105,2727,22477,143,25,1032,23,83,86,562,37,11,22
4000005,39412,20113,311,106,598,19696,120,120,5972,1289,10658,118,17,484,8,38,40,432,23,3,16
4000010,36419,14684,331,83,485,14270,112,112,7671,501,4931,79,10,198,15,36,36,271,21,6,10
4000015,3703,1350,16,1,26,1333,11,11,242,49,976,2,2,8,1,2,7,16,1,1,0
4000017,13973,6393,163,41,183,6189,42,42,3869,228,1628,29,7,88,4,9,18,115,7,1,3
4000020,3906,1591,11,5,24,1575,12,12,225,123,1146,4,0,16,2,8,3,23,0,0,1
4000025,41399,20743,409,81,583,20253,123,123,8924,954,8564,91,39,475,17,46,48,466,26,3,17
4400001,137546,78853,871,141,1513,77841,400,398,26655,4211,40801,350,65,2585,31,126,89,1279,71,22,43
4400002,4517,2336,34,7,48,2295,14,14,594,103,1420,14,1,45,3,5,3,51,1,2,5
4400003,24852,13436,450,191,747,12795,73,73,6593,499,3953,117,28,259,31,86,55,344,34,21,28
4400004,8465,4336,76,21,91,4239,26,26,1287,180,2490,18,4,44,1,10,8,96,5,2,3
4400005,15988,8280,140,41,269,8099,49,49,2624,424,4301,36,6,170,9,16,32,186,22,0,4
4400006,11590,5899,96,39,201,5764,34,34,2492,287,2531,17,6,71,7,24,12,106,4,1,5
4400007,12574,6259,74,34,140,6151,38,38,3482,235,2032,30,4,83,4,12,21,88,14,2,4
4400009,19878,10168,182,69,369,9917,60,60,3682,489,4853,61,13,158,8,30,29,188,23,4,10
4400010,42016,23780,499,189,957,23092,129,126,10671,1008,9116,142,38,362,47,81,92,500,48,8,22
4400012,7736,2910,42,17,82,2851,23,23,988,145,1475,17,0,39,0,5,0,90,6,2,2
4400016,6745,2571,26,7,64,2538,22,22,1204,63,1123,11,2,24,0,9,2,34,1,1,0
4400017,3975,1981,14,127,24,1840,14,14,386,101,1234,11,2,36,0,1,5,38,2,0,0
4400020,10807,5241,77,34,134,5130,34,34,1930,197,2568,24,5,69,0,10,10,171,8,0,4
4400022,8884,3076,44,29,102,3003,31,31,2005,68,729,14,3,21,2,10,4,38,3,2,2
4400024,6175,2341,37,22,107,2282,18,18,744,94,1227,7,2,28,3,10,5,46,7,1,1
4400040,5670,2383,29,12,46,2342,18,18,587,87,1498,3,0,41,1,3,4,66,3,1,2
4600001,135269,88468,985,128,1571,87355,401,376,24316,5549,50330,521,73,3391,28,117,89,1252,59,10,49
