puesto_code,puesto_name,num_mesas,dept_reg_code,dept_name,mpio_reg_code_7,mpio_name,zona_code,zona_name,is_exterior
3100001060001,SENA,42,3100,VALLE,3100001,CALI,310000106,ZONA06,False
2700001030004,SENA - CSET - COLISEO,16,2700,SANTANDER,2700001,BUCARAMANGA,270000103,ZONA03,False
0100001170006,SENA - SEDE BUENOS AIRES,9,0100,ANTIOQUIA,0100001,MEDELLIN,010000117,ZONA17,False
0500001050004,SENA 4 VIENTOS,15,0500,BOLIVAR,0500001,CARTAGENA,050000105,ZONA05,False
1100001020002,SENA ALTO DEL CAUCA,38,1100,CAUCA,1100001,POPAYAN,110000102,ZONA02,False
1600001020011,SENA CALLE 52,22,1600,BOGOTA D.C.,1600001,BOGOTA. D.C.,160000102,ZONA02,False
1600001020009,SENA CALLE 65,18,1600,BOGOTA D.C.,1600001,BOGOTA. D.C.,160000102,ZONA02,False
3100001200004,SENA CDTI,25,3100,VALLE,3100001,CALI,310000120,ZONA20,False
2600001100006,SENA CENTRO AGROINDUSTRIAL,6,2600,QUINDIO,2600001,ARMENIA,260000110,ZONA10,False
1600001160051,SENA CRA 30 HOTEL,1,1600,BOGOTA D.C.,1600001,BOGOTA. D.C.,160000116,ZONA16,False
2700091020006,SENA PALENQUE,6,2700,SANTANDER,2700091,GIRON,270009102,ZONA02,False
0100001120009,SENA PEDREGAL,1,0100,ANTIOQUIA,0100001,MEDELLIN,010000112,ZONA12,False
0100035040007,SENA REGIONAL APARTADO,1,0100,ANTIOQUIA,0100035,APARTADO,010003504,ZONA04,False
0500118010002,SENA REGIONAL BOLIVAR,16,0500,BOLIVAR,0500118,TURBACO,050011801,ZONA01,False
0300043020003,SENA SAN JOSE,10,0300,ATLANTICO,0300043,SABANAGRANDE,030004302,ZONA02,False
0300001230001,SENA SAN JOSE MULTIPLE BILINGUE,19,0300,ATLANTICO,0300001,BARRANQUILLA,030000123,ZONA23,False
6400001020006,SENA SEDE MOCOA,7,6400,PUTUMAYO,6400001,MOCOA,640000102,ZONA02,False
1600001070079,SENDEROS DE PORVENIR PRIMERA INFANCIA,3,1600,BOGOTA D.C.,1600001,BOGOTA. D.C.,160000107,ZONA07,False
2400025990011,SERRANIA ALTO DEL NUDO (AGUA AZUL),1,2400,RISARALDA,2400025,DOSQUEBRADAS,240002599,ZONA99,False
2400025990012,SERRANIA ALTO DEL NUDO (EL ESTANQUILLO),2,2400,RISARALDA,2400025,DOSQUEBRADAS,240002599,ZONA99,False
2400025990010,SERRANIA ALTO NUDO LA UNION,5,2400,RISARALDA,2400025,DOSQUEBRADAS,240002599,ZONA99,False
2900058990080,SERREZUELA,1,2900,TOLIMA,2900058,GUAMO,290005899,ZONA99,False
2400025900001,SERVICIO NACIONAL DE APRENDIZAJE SENA,8,2400,RISARALDA,2400025,DOSQUEBRADAS,240002590,ZONA90,False
1600001010002,SERVITA,67,1600,BOGOTA D.C.,1600001,BOGOTA. D.C.,160000101,ZONA01,False
1700028990021,SESEGO,1,1700,CHOCO,1700028,NOVITA,170002899,ZONA99,False
1100007990037,SESTEADERO,1,1100,CAUCA,1100007,BOLIVAR,110000799,ZONA99,False
1300058990021,SEVERINERA,1,1300,CORDOBA,1300058,TIERRALTA,130005899,ZONA99,False
2700160990068,SEVILLA,3,2700,SANTANDER,2700160,PIEDECUESTA,270016099,ZONA99,False
1300019990045,SEVILLA (FLECHAS),2,1300,CORDOBA,1300019,CHINU,130001999,ZONA99,False
2100016990020,SEVILLANO,7,2100,MAGDALENA,2100016,CIENAGA,210001699,ZONA99,False
7200006990075,SHIARE,1,7200,VICHADA,7200006,CUMARIBO,720000699,ZONA99,False
4800011990090,SHIRURIA,6,4800,LA GUAJIRA,4800011,MANAURE,480001199,ZONA99,False
4800011990091,SHIRURIA URIUNAKAT,1,4800,LA GUAJIRA,4800011,MANAURE,480001199,ZONA99,False
1300009990070,SI SE VAN,4,1300,CORDOBA,1300009,CANALETE,130000999,ZONA99,False
4800016990069,SIAPANA,11,4800,LA GUAJIRA,4800016,URIBIA,480001699,ZONA99,False
0700286990013,SIAPORA,1,0700,BOYACA,0700286,SUSACON,070028699,ZONA99,False
2100016990013,SIBERIA,2,2100,MAGDALENA,2100016,CIENAGA,210001699,ZONA99,False
2500046990040,SIBERIA,2,2500,NORTE DE SAN,2500046,HERRAN,250004699,ZONA99,False
2700085990065,SIBERIA,1,2700,SANTANDER,2700085,GALAN,270008599,ZONA99,False
6400023990018,SIBERIA,6,6400,PUTUMAYO,6400023,ORITO,640002399,ZONA99,False
1100016990025,SIBERIA (OVEJAS),13,1100,CAUCA,1100016,CALDONO,110001699,ZONA99,False
1300046990065,SICARA,5,1300,CORDOBA,1300046,SAN BERNARDO DEL VIENTO,130004699,ZONA99,False
1200150990089,SICARARE,2,1200,CESAR,1200150,AGUSTIN CODAZZI,120015099,ZONA99,False
1600001100071,SIDAUTO,2,1600,BOGOTA D.C.,1600001,BOGOTA. D.C.,160000110,ZONA10,False
2300039990080,SIDON,5,2300,NARIÑO,2300039,CUMBITARA,230003999,ZONA99,False
1900082990070,SIERRA DE LA CAÑADA,1,1900,HUILA,1900082,TELLO,190008299,ZONA99,False
4800005990044,SIERRA DE SAN ANTONIO,2,4800,LA GUAJIRA,4800005,DIBULLA,480000599,ZONA99,False
1600001190024,SIERRA MORENA,40,1600,BOGOTA D.C.,1600001,BOGOTA. D.C.,160000119,ZONA19,False
1600001120019,SIETE DE AGOSTO,23,1600,BOGOTA D.C.,1600001,BOGOTA. D.C.,160000112,ZONA12,False
1700034990029,SIETE DE AGOSTO,3,1700,CHOCO,1700034,RIOSUCIO,170003499,ZONA99,False
2800020990080,SIETE PALMAS,3,2800,SUCRE,2800020,CAIMITO,280002099,ZONA99,False
1300033990090,SILENCIO,5,1300,CORDOBA,1300033,PUERTO ESCONDIDO,130003399,ZONA99,False
2800160990085,SILOE,2,2800,SUCRE,2800160,SAMPUES,280016099,ZONA99,False
