mesa_code,puesto_code,error
1300058010003000002,1300058010003,Server disconnected
0100088010007000016,0100088010007,Server disconnected
3100001050006000004,3100001050006,Server disconnected
2500055000000000008,2500055000000,Expecting value: line 1 column 1 (char 0)
1600001190059000037,1600001190059,HTTP 500
0100166020001000007,0100166020001,Server disconnected
1300001990039000006,1300001990039,Server disconnected
2700013020003000006,2700013020003,Server disconnected
1600001070019000012,1600001070019,HTTP 500
4400001010008000001,4400001010008,Server disconnected
0300001260003000019,0300001260003,HTTP 500
4600001990019000001,4600001990019,"400, message='Expected HTTP/, RTSP/ or ICE/:\n\n  b\'<!DOCTYPE HTML PUBLIC ""-//W3C//DTD HTML 4.01 Transitional//EN"" ""htt"
0300001230003000017,0300001230003,HTTP 500
0300001260003000026,0300001260003,Server disconnected
2500001020003000017,2500001020003,Server disconnected
1600001110099000013,1600001110099,Server disconnected
0100270990020000006,0100270990020,Server disconnected
0300001260003000028,0300001260003,Server disconnected
0300001160003000013,0300001160003,Server disconnected
0100049040003000007,0100049040003,Server disconnected
0300001160003000012,0300001160003,Server disconnected
6400028990035000002,6400028990035,Server disconnected
0300007020001000002,0300007020001,Server disconnected
2600025000000000015,2600025000000,Server disconnected
2600040000000000001,2600040000000,HTTP 500
7200006990012000003,7200006990012,Server disconnected
2800001020002000010,2800001020002,Server disconnected
2800001020002000012,2800001020002,Expecting value: line 1 column 1 (char 0)
1600001150013000019,1600001150013,Server disconnected
0300001320002000021,0300001320002,Server disconnected
3100106050003000006,3100106050003,Server disconnected
2400001040002000002,2400001040002,Expecting value: line 1 column 1 (char 0)
2500001030002000023,2500001030002,Expecting value: line 1 column 1 (char 0)
0300001350002000003,0300001350002,HTTP 500
1500169010001000013,1500169010001,Server disconnected
3100106060002000035,3100106060002,Server disconnected
0300001350002000011,0300001350002,Server disconnected
1200200020002000018,1200200020002,Server disconnected
0300001350002000010,0300001350002,Server disconnected
2900001090002000010,2900001090002,"400, message='Expected HTTP/, RTSP/ or ICE/:\n\n  b\'<!DOCTYPE HTML PUBLIC ""-//W3C//DTD HTML 4.01 Transitional//EN"" ""htt"
2700040000000000001,2700040000000,HTTP 500
3100001060001000014,3100001060001,Server disconnected
2700043000000000009,2700043000000,Server disconnected
1300019990021000001,1300019990021,Server disconnected
1500328020001000004,1500328020001,HTTP 500
3100001050008000004,3100001050008,Server disconnected
2700052000000000009,2700052000000,Server disconnected
4000001030003000010,4000001030003,HTTP 500
0500043990025000001,0500043990025,Server disconnected
2900109990006000001,2900109990006,Expecting value: line 1 column 1 (char 0)
1100001020002000003,1100001020002,"400, message='Expected HTTP/, RTSP/ or ICE/:\n\n  b\'<!DOCTYPE HTML PUBLIC ""-//W3C//DTD HTML 4.01 Transitional//EN"" ""htt"
8800360570005000005,8800360570005,Server disconnected
1100001020002000001,1100001020002,Server disconnected
0300001210002000030,0300001210002,Server disconnected
4800011020001000005,4800011020001,Server disconnected
2700058000000000021,2700058000000,Server disconnected
0300052030003000010,0300052030003,Server disconnected
1100001020002000026,1100001020002,HTTP 500
3100091990025000001,3100091990025,Server disconnected
1300001010002000019,1300001010002,Expecting value: line 1 column 1 (char 0)
0100103030003000013,0100103030003,"400, message='Expected HTTP/, RTSP/ or ICE/:\n\n  b\'<!DOCTYPE HTML PUBLIC ""-//W3C//DTD HTML 4.01 Transitional//EN"" ""htt"
1500055900001000026,1500055900001,Expecting value: line 1 column 1 (char 0)
2700074000000000013,2700074000000,Server disconnected
1600001180035000007,1600001180035,Server disconnected
1300022020003000008,1300022020003,Server disconnected
8800170050005000001,8800170050005,Server disconnected
0300052120001000030,0300052120001,Server disconnected
8800355050006000002,8800355050006,Server disconnected
0300052120001000036,0300052120001,Server disconnected
0300052120001000043,0300052120001,HTTP 500
0300043020003000009,0300043020003,Server disconnected
4400001040002000005,4400001040002,Server disconnected
2800040990046000001,2800040990046,Expecting value: line 1 column 1 (char 0)
0100214010002000003,0100214010002,Server disconnected
0100214010002000022,0100214010002,Server disconnected
2900079020002000003,2900079020002,Server disconnected
1600001090003000048,1600001090003,Server disconnected
1600001090003000039,1600001090003,Server disconnected
2700001020002000020,2700001020002,HTTP 500
1600001090027000030,1600001090027,HTTP 500
2700001140004000018,2700001140004,HTTP 500
2100095990028000009,2100095990028,Server disconnected
2300001070006000008,2300001070006,Server disconnected
0100121080002000003,0100121080002,Server disconnected
2300001030001000007,2300001030001,HTTP 500
0700277020001000001,0700277020001,Server disconnected
2700163000000000008,2700163000000,Server disconnected
0700001020001000005,0700001020001,Server disconnected
1600001190024000030,1600001190024,Expecting value: line 1 column 1 (char 0)
0700277020001000025,0700277020001,Expecting value: line 1 column 1 (char 0)
1600001190024000037,1600001190024,Expecting value: line 1 column 1 (char 0)
0300001330004000014,0300001330004,HTTP 500
5000001010002000001,5000001010002,Server disconnected
